,Relevance,Tags,Heading,Seg,Sentence
0,1,"['statistics', 'data', 'probability theory', 'probability', 'random', 'processes']",Chapter  Basics of Probability Theory,seg_1,"abstract statistics deals with the collection and interpretation of data. this chapter lays a foundation that allows to rigorously describe non-deterministic processes and to reason about non-deterministic quantities. the mathematical framework is given by probability theory, whose objects of interest are random quantities, their description and properties."
1,1,"['quantile', 'moment', 'distribution', 'probability']",Chapter  Basics of Probability Theory,seg_1,keywords probability · distribution · moment · quantile
2,1,"['sample', 'random', 'statistics', 'data', 'probability theory', 'set', 'probability', 'random sample', 'processes']", Probability and Events,seg_3,"in statistics, we are concerned with the collection, analysis, and interpretation of data, typically given as a random sample from a large set. we therefore need to lay a foundation in probability theory that allows us to formally represent nondeterministic processes and study their properties."
3,1,"['outcome', 'set', 'outcomes']", Probability and Events,seg_3,"a first example. let us consider the following situation: a dice is rolled leading to any of the numbers {1, . . . , 6} as a possible outcome. with two dice, the possible outcomes are described by the set"
4,0,[], Probability and Events,seg_3,"= {(i, j)|1 ≤ i, j ≤ 6} ,"
5,1,"['set', 'outcomes']", Probability and Events,seg_3,of size | | = 36. the set of outcomes that lead to a sum of at least 10 is then
6,0,[], Probability and Events,seg_3,"a = {(4, 6), (6, 4), (5, 5), (5, 6), (6, 5), (6, 6)} ⊂ ,"
7,1,"['set', 'probability', 'outcomes']", Probability and Events,seg_3,a set of size 6. a first definition of the probability that we will roll a sum of at least 10 is given by counting the number of outcomes that lead to a sum larger or equal
8,1,['outcomes'], Probability and Events,seg_3,10 and divide it by the number of all possible outcomes:
9,0,[], Probability and Events,seg_3,"|a| 6 p(a) = = , | | 36"
10,1,['outcomes'], Probability and Events,seg_3,with the intuitive interpretation that 6 out of 36 possible outcomes are of the desired type. this definition implicitly assumes that each of the 36 possible outcomes has the same chance of occurring.
11,1,"['intersection', 'sets', 'events', 'probability', 'event', 'outcomes']", Probability and Events,seg_3,"any collection of possible outcomes x ⊆ is called an event; the previous definition assigns a probability of p(x) = |x |/| | to such an event. events are sets and we can apply the usual operations on them: let a be as above the event of having a sum of at least 10. let us further denote by b the event that both dice show an even number; thus, b = {(2, 2), (2, 4), (2, 6), (4, 2), (4, 4), (4, 6), (6, 2), (6, 4), (6, 6)} and |b| = 9. the event c of rolling a sum of at least 10 and both dice even is then described by the intersection of the two events:"
12,0,[], Probability and Events,seg_3,"c = a ∩ b = {(4, 6), (6, 4), (6, 6)},"
13,1,['probability'], Probability and Events,seg_3,and has probability
14,0,[], Probability and Events,seg_3,3 p(c) = p(a ∩ b) = . 36
15,1,"['union', 'event']", Probability and Events,seg_3,"similarly, we can ask for the event of rolling a total of at least ten or both dice even. this event corresponds to the union of a and b, since any of the elements of a or b will do:"
16,0,[], Probability and Events,seg_3,"d := a ∪ b = {(5, 5), (5, 6), (6, 5), (2, 2), (2, 4), (2, 6),"
17,0,[], Probability and Events,seg_3,"(4, 2), (4, 4), (4, 6), (6, 2), (6, 4), (6, 6)} ."
18,1,"['complement', 'event', 'complement of an event', 'outcomes']", Probability and Events,seg_3,"the complement of an event corresponds to all possible outcomes that are not covered by the event itself. for example, the event of not rolling an even number simultaneously on both dice is given by the complement of b, which is"
19,0,[], Probability and Events,seg_3,"bc = \b = {(i, j) ∈ |(i, j) ∈ b},"
20,1,['probability'], Probability and Events,seg_3,with probability
21,0,[], Probability and Events,seg_3,9 27 p (bc ) = 1 − p(b) = 1 − = . 36 36
22,1,"['case', 'events', 'set', 'function', 'outcomes']", Probability and Events,seg_3,"the general case. let be the set of all possible outcomes of a particular experiment and denote by a, b ⊆ any pair of events. then, any function p with the properties"
23,0,[], Probability and Events,seg_3,"p( ) = 1, (1.1)"
24,0,[], Probability and Events,seg_3,"p(a) ≥ 0, (1.2)"
25,0,[], Probability and Events,seg_3,p(a ∪ b) = p(a) + p(b) if a ∩ b = ∅ (1.3)
26,1,"['disjoint', 'probabilities', 'experiment', 'sets', 'probability measure', 'events', 'set', 'probability', 'outcomes', 'disjoint sets']", Probability and Events,seg_3,"defines a probability measure or simply a probability that allows to compute the probability of events. the first requirement (1.1) ensures that is really the set of all possible outcomes, so any experiment will lead to an element of ; the probability that something happens should thus be one. the second requirement (1.2) is that probabilities are never negative (but the probability of events might be zero). finally, the third requirement (1.3) gives us the algebraic rule how the probability of combined events is computed; importantly, this rule only applies for disjoint sets. using the algebra of sets as above, we can immediately derive some additional facts:"
27,0,[], Probability and Events,seg_3,"p (ac ) = p( \a) = 1 − p(a),"
28,0,[], Probability and Events,seg_3,"p(∅) = 1 − p( ) = 0,"
