,Relevance,Tags,Heading,Seg,Sentence
0,1,"['statistics', 'probability']", Why probability and statistics,seg_1,"is everything on this planet determined by randomness? this question is open to philosophical debate. what is certain is that every day thousands and thousands of engineers, scientists, business persons, manufacturers, and others are using tools from probability and statistics."
1,1,"['statistics', 'probability']", Why probability and statistics,seg_1,"the theory and practice of probability and statistics were developed during the last century and are still actively being refined and extended. in this book we will introduce the basic notions and ideas, and in this first chapter we present a diverse collection of examples where randomness plays a role."
2,1,"['random', 'percentage', 'correlation']", Biometry iris recognition,seg_3,"biometry is the art of identifying a person on the basis of his or her personal biological characteristics, such as fingerprints or voice. from recent research it appears that with the human iris one can beat all existing automatic human identification systems. iris recognition technology is based on the visible qualities of the iris. it converts these—via a video camera—into an “iris code” consisting of just 2048 bits. this is done in such a way that the code is hardly sensitive to the size of the iris or the size of the pupil. however, at different times and different places the iris code of the same person will not be exactly the same. thus one has to allow for a certain percentage of mismatching bits when identifying a person. in fact, the system allows about 34% mismatches! how can this lead to a reliable identification system? the miracle is that different persons have very different irides. in particular, over a large collection of different irides the code bits take the values 0 and 1 about half of the time. but that is certainly not sufficient: if one bit would determine the other 2047, then we could only distinguish two persons. in other words, single bits may be random, but the correlation between bits is also crucial (we will discuss correlation at length in chapter 10). john daugman who has developed the iris recognition technology made comparisons between 222743 pairs of iris"
3,1,"['interval', 'data', 'probability', 'histograms']", Biometry iris recognition,seg_3,"codes and concluded that of the 2048 bits 266 may be considered as uncorrelated ([6]). he then argues that we may consider an iris code as the result of 266 coin tosses with a fair coin. this implies that if we compare two such codes from different persons, then there is an astronomically small probability that these two differ in less than 34% of the bits—almost all pairs will differ in about 50% of the bits. this is illustrated in figure 1.1, which originates from [6], and was kindly provided by john daugman. the iris code data consist of numbers between 0 and 1, each a hamming distance (the fraction of mismatches) between two iris codes. the data have been summarized in two histograms, that is, two graphs that show the number of counts of hamming distances falling in a certain interval. we will encounter histograms and other summaries of data in chapter 15. one sees from the figure that for codes from the same iris (left side) the mismatch fraction is only about 0.09, while for different irides (right side) it is about 0.46."
4,1,['events'], Biometry iris recognition,seg_3,"you may still wonder how it is possible that irides distinguish people so well. what about twins, for instance? the surprising thing is that although the color of eyes is hereditary, many features of iris patterns seem to be produced by so-called epigenetic events. this means that during embryo development the iris structure develops randomly. in particular, the iris patterns of (monozygotic) twins are as discrepant as those of two arbitrary individuals."
5,0,[], Biometry iris recognition,seg_3,"for this reason, as early as in the 1930s, eye specialists proposed that iris patterns might be used for identification purposes."
6,1,"['interval', 'combination', 'data', 'statistical', 'population', 'standard', 'confidence', 'average', 'confidence interval']", Killer football,seg_5,"a couple of years ago the prestigious british medical journal published a paper with the title “cardiovascular mortality in dutch men during 1996 european football championship: longitudinal population study” ([41]). the authors claim to have shown that the effect of a single football match is detectable in national mortality data. they consider the mortality from infarctions (heart attacks) and strokes, and the “explanation” of the increase is a combination of heavy alcohol consumption and stress caused by watching the football match on june 22 between the netherlands and france (lost by the dutch team!). the authors mainly support their claim with a figure like figure 1.2, which shows the number of deaths from the causes mentioned (for men over 45), during the period june 17 to june 27, 1996. the middle horizontal line marks the average number of deaths on these days, and the upper and lower horizontal lines mark what the authors call the 95% confidence interval. the construction of such an interval is usually performed with standard statistical techniques, which you will learn in chapter 23. the interpretation of such an interval is rather tricky. that the bar on june 22 sticks out off the confidence interval should support the “killer claim.”"
7,1,"['poisson', 'model', 'poisson process', 'probability', 'process']", Killer football,seg_5,"it is rather surprising that such a conclusion is based on a single football match, and one could wonder why no probability model is proposed in the paper. in fact, as we shall see in chapter 12, it would not be a bad idea to model the time points at which deaths occur as a so-called poisson process."
8,1,"['poisson', 'sample', 'model', 'process', 'independent', 'sample mean', 'interval', 'poisson process', 'estimation', 'data', 'distribution', 'events', 'mean', 'probability', 'poisson distribution', 'average']", Killer football,seg_5,"once we have done this, we can compute how often a pattern like the one in the figure might occur—without paying attention to football matches and other high-risk national events. to do this we need the mean number of deaths per day. this number can be obtained from the data by an estimation procedure (the subject of chapters 19 to 23). we use the sample mean, which is equal to (10 · 27.2 + 41)/11 = 313/11 = 28.45. (here we have to make a computation like this because we only use the data in the paper: 27.2 is the average over the 5 days preceding and following the match, and 41 is the number of deaths on the day of the match.) now let phigh be the probability that there are 41 or more deaths on a day, and let pusual be the probability that there are between 21 and 34 deaths on a day—here 21 and 34 are the lowest and the highest number that fall in the interval in figure 1.2. from the formula of the poisson distribution given in chapter 12 one can compute that phigh = 0.008 and pusual = 0.820. since events on different days are independent according to the poisson process model, the probability p of a pattern as in the figure is"
9,1,['law of large numbers'], Killer football,seg_5,"from this it can be shown by (a generalization of) the law of large numbers (which we will study in chapter 13) that such a pattern would appear about once every 1/0.0011 = 899 days. so it is not overwhelmingly exceptional to find such a pattern, and the fact that there was an important football match on the day in the middle of the pattern might just have been a coincidence."
10,1,['states'], Cars and goats the Monty Hall dilemma,seg_7,"on sunday september 9, 1990, the following question appeared in the “ask marilyn” column in parade, a sunday supplement to many newspapers across the united states:"
11,0,[], Cars and goats the Monty Hall dilemma,seg_7,"suppose you’re on a game show, and you’re given the choice of three doors; behind one door is a car; behind the others, goats. you pick a door, say no. 1, and the host, who knows what’s behind the doors, opens another door, say no. 3, which has a goat. he then says to you, “do you want to pick door no. 2?” is it to your advantage to switch your choice?—craig f. whitaker, columbia, md."
