,Relevance,Tags,Heading,Seg,Sentence
0,1,"['statistical', 'success']", Overview Statistical Inference Samples Populations and the Role of Probability,seg_3,"beginning in the 1980s and continuing into the 21st century, an inordinate amount of attention has been focused on improvement of quality in american industry. much has been said and written about the japanese “industrial miracle,” which began in the middle of the 20th century. the japanese were able to succeed where we and other countries had failed–namely, to create an atmosphere that allows the production of high-quality products. much of the success of the japanese has been attributed to the use of statistical methods and statistical thinking among management personnel."
1,1,"['statistics', 'data', 'information', 'statistical', 'inferential statistics']", Overview Statistical Inference Samples Populations and the Role of Probability,seg_3,"the use of statistical methods in manufacturing, development of food products, computer software, energy sources, pharmaceuticals, and many other areas involves the gathering of information or scientific data. of course, the gathering of data is nothing new. it has been done for well over a thousand years. data have been collected, summarized, reported, and stored for perusal. however, there is a profound distinction between collection of scientific information and inferential statistics. it is the latter that has received rightful attention in recent decades."
2,1,"['process', 'uncertainty', 'statistics', 'data', 'statistical', 'variation', 'continuous', 'inferential statistics']", Overview Statistical Inference Samples Populations and the Role of Probability,seg_3,"the offspring of inferential statistics has been a large “toolbox” of statistical methods employed by statistical practitioners. these statistical methods are designed to contribute to the process of making scientific judgments in the face of uncertainty and variation. the product density of a particular material from a manufacturing process will not always be the same. indeed, if the process involved is a batch process rather than continuous, there will be not only variation in material density among the batches that come off the line (batch-to-batch variation), but also within-batch variation. statistical methods are used to analyze data from a process such as this one in order to gain more sense of where in the process changes may be made to improve the quality of the process. in this process, qual-"
3,1,"['experienced', 'standard', 'set', 'variation', 'process']", Overview Statistical Inference Samples Populations and the Role of Probability,seg_3,"ity may well be defined in relation to closeness to a target density value in harmony with what portion of the time this closeness criterion is met. an engineer may be concerned with a specific instrument that is used to measure sulfur monoxide in the air during pollution studies. if the engineer has doubts about the effectiveness of the instrument, there are two sources of variation that must be dealt with. the first is the variation in sulfur monoxide values that are found at the same locale on the same day. the second is the variation between values observed and the true amount of sulfur monoxide that is in the air at the time. if either of these two sources of variation is exceedingly large (according to some standard set by the engineer), the instrument may need to be replaced. in a biomedical study of a new drug that reduces hypertension, 85% of patients experienced relief, while it is generally recognized that the current drug, or “old” drug, brings relief to 80% of patients that have chronic hypertension. however, the new drug is more expensive to make and may result in certain side effects. should the new drug be adopted? this is a problem that is encountered (often with much more complexity) frequently by pharmaceutical firms in conjunction with the fda (federal drug administration). again, the consideration of variation needs to be taken into account. the “85%” value is based on a certain number of patients chosen for the study. perhaps if the study were repeated with new patients the observed number of “successes” would be 75%! it is the natural variation from study to study that must be taken into account in the decision process. clearly this variation is important, since variation from patient to patient is endemic to the problem."
4,1,"['observations', 'statistics', 'case', 'probability', 'process', 'data', 'information', 'samples', 'statistical', 'inferential statistics', 'statistical inference', 'statistician', 'response', 'variability', 'statisticians', 'sampling', 'measuring']", Overview Statistical Inference Samples Populations and the Role of Probability,seg_3,"in the problems discussed above the statistical methods used involve dealing with variability, and in each case the variability to be studied is that encountered in scientific data. if the observed product density in the process were always the same and were always on target, there would be no need for statistical methods. if the device for measuring sulfur monoxide always gives the same value and the value is accurate (i.e., it is correct), no statistical analysis is needed. if there were no patient-to-patient variability inherent in the response to the drug (i.e., it either always brings relief or not), life would be simple for scientists in the pharmaceutical firms and fda and no statistician would be needed in the decision process. statistics researchers have produced an enormous number of analytical methods that allow for analysis of data from systems like those described above. this reflects the true nature of the science that we call inferential statistics, namely, using techniques that allow us to go beyond merely reporting data to drawing conclusions (or inferences) about the scientific system. statisticians make use of fundamental laws of probability and statistical inference to draw conclusions about scientific systems. information is gathered in the form of samples, or collections of observations. the process of sampling is introduced in chapter 2, and the discussion continues throughout the entire book."
5,1,"['populations', 'information', 'sampling', 'population', 'process']", Overview Statistical Inference Samples Populations and the Role of Probability,seg_3,"samples are collected from populations, which are collections of all individuals or individual items of a particular type. at times a population signifies a scientific system. for example, a manufacturer of computer boards may wish to eliminate defects. a sampling process may involve collecting information on 50 computer boards sampled randomly from the process. here, the population is all"
6,1,"['sample', 'experiment', 'population', 'process']", Overview Statistical Inference Samples Populations and the Role of Probability,seg_3,"computer boards manufactured by the firm over a specific period of time. if an improvement is made in the computer board process and a second sample of boards is collected, any conclusions drawn regarding the effectiveness of the change in process should extend to the entire population of computer boards produced under the “improved process.” in a drug experiment, a sample of patients is taken and each is given a specific drug to reduce blood pressure. the interest is focused on drawing conclusions about the population of those who suffer from hypertension."
7,1,"['levels', 'factor', 'design', 'case', 'process', 'experiment', 'observational study', 'data', 'population', 'statistical', 'experimental', 'statistical inference', 'factors']", Overview Statistical Inference Samples Populations and the Role of Probability,seg_3,"often, it is very important to collect scientific data in a systematic way, with planning being high on the agenda. at times the planning is, by necessity, quite limited. we often focus only on certain properties or characteristics of the items or objects in the population. each characteristic has particular engineering or, say, biological importance to the “customer,” the scientist or engineer who seeks to learn about the population. for example, in one of the illustrations above the quality of the process had to do with the product density of the output of a process. an engineer may need to study the effect of process conditions, temperature, humidity, amount of a particular ingredient, and so on. he or she can systematically move these factors to whatever levels are suggested according to whatever prescription or experimental design is desired. however, a forest scientist who is interested in a study of factors that influence wood density in a certain kind of tree cannot necessarily design an experiment. this case may require an observational study in which data are collected in the field but factor levels can not be preselected. both of these types of studies lend themselves to methods of statistical inference. in the former, the quality of the inferences will depend on proper planning of the experiment. in the latter, the scientist is at the mercy of what can be gathered. for example, it is sad if an agronomist is interested in studying the effect of rainfall on plant yield and the data are gathered during a drought."
8,1,"['process', 'statistical inference', 'data', 'level', 'statistical']", Overview Statistical Inference Samples Populations and the Role of Probability,seg_3,the importance of statistical thinking by managers and the use of statistical inference by scientific personnel is widely acknowledged. research scientists gain much from scientific data. data provide understanding of scientific phenomena. product and process engineers learn a great deal in their off-line efforts to improve the process. they also gain valuable insight by gathering production data (online monitoring) on a regular basis. this allows them to determine necessary modifications in order to keep the process at a desired level of quality.
9,1,"['observations', 'plots', 'statistics', 'location', 'set', 'medians', 'sample', 'data', 'standard', 'histograms', 'inferential statistics', 'statistical', 'graphics', 'statistical inference', 'dot plots', 'descriptive statistics', 'distribution', 'box plots', 'standard deviations', 'variability', 'scatter plots', 'deviations']", Overview Statistical Inference Samples Populations and the Role of Probability,seg_3,"there are times when a scientific practitioner wishes only to gain some sort of summary of a set of data represented in the sample. in other words, inferential statistics is not required. rather, a set of single-number statistics or descriptive statistics is helpful. these numbers give a sense of center of the location of the data, variability in the data, and the general nature of the distribution of observations in the sample. though no specific statistical methods leading to statistical inference are incorporated, much can be learned. at times, descriptive statistics are accompanied by graphics. modern statistical software packages allow for computation of means, medians, standard deviations, and other singlenumber statistics as well as production of graphs that show a “footprint” of the nature of the sample. definitions and illustrations of the single-number statistics and graphs, including histograms, stem-and-leaf plots, scatter plots, dot plots, and box plots, will be given in sections that follow."
