,Relevance,Tags,Heading,Seg,Sentence
0,1,"['function', 'limit', 'continuous']", Basic Properties of Measures,seg_3,"motivation 1.1 (the lebesgue integral) the riemann integral of a continuous function f (we will restrict attention to f(x) ≥ 0 on a ≤ x ≤ b for convenience) is formed by subdividing the domain of f, forming approximating sums, and passing to the limit. thus the mth riemann"
1,1,"['functions', 'interval', 'continuous']", Basic Properties of Measures,seg_3,"where a ≡ xm0 < xm1 < · · · < xmm ≡ b (with xm,i−1 ≤ x∗mi ≤ xmi for all i) satisfy meshm ≡ max[xmi − xm,i−1] → 0. note that xmi − xm,i−1 is the measure (or length) of the interval [xm,i−1, xmi], while f(x∗mi) approximates the values of f(x) for all xm,i−1 ≤ x ≤ xmi (at least it does if f is continuous on [a, b]). within the class c+ of all nonnegative continuous functions, this definition works reasonably well. but it has one major shortcoming. the conclusion"
2,0,[], Basic Properties of Measures,seg_3,it is well defined).
3,1,['function'], Basic Properties of Measures,seg_3,a different approach is needed. (note figure 1.1.) the lebesgue integral of a bounded and nonnegative function is formed by subdividing
4,1,['range'], Basic Properties of Measures,seg_3,the range. thus the mth lebesgue sum for ∫a
5,1,"['functions', 'sets', 'limit']", Basic Properties of Measures,seg_3,b f(x) dx is defined to be the limit of the lsm sums as m → ∞. for what class m of functions f can this approach succeed? the members f of the class m will need to be such that the measure (or length) of all sets of the form
6,1,['sets'], Basic Properties of Measures,seg_3,"can be specified. this approach leads to the concept of a σ-field a of subsets of [a, b] that are measurable (that is, we must be able to assign to these sets a number called their “length”),"
7,1,"['functions', 'limit']", Basic Properties of Measures,seg_3,"and this leads to the concept of the class m of measurable functions. this class m of measurable functions will be seen to be closed under passage to the limit and all the other operations that we are accustomed to performing on functions. moreover, the desirable property"
8,1,['functions'], Basic Properties of Measures,seg_3,b f(x) dx for functions fn “converging” to f will be broadly true.
9,0,[], Basic Properties of Measures,seg_3,figure 1.1 riemann sums and lebesgue sums.
10,1,"['sample', 'experiment', 'set', 'set theory', 'sample space']", Basic Properties of Measures,seg_3,"definition 1.1 (set theory) consider a nonvoid class a of subsets a of a nonvoid set ω. (for us, ω will be the sample space of an experiment.)"
11,1,"['disjoint', 'symmetric', 'intersection', 'sets', 'complement', 'set', 'union']", Basic Properties of Measures,seg_3,"(a) let ac denote the complement of a, let a ∪ b denote the union of a and b, let a ∩ b and ab both denote the intersection, let a \b ≡ abc denote the set difference, let a b ≡ (acb∪abc) denote the symmetric difference, and let ∅ denote the empty set. the class of all subsets of ω will be denoted by 2ω. sets a and b are called disjoint if ab = ∅, and sequences of sets an or classes of sets at are called disjoint if all pairs are disjoint. writing a + b or"
12,1,"['sets', 'union']", Basic Properties of Measures,seg_3,"1 an will also denote a union, but will imply the disjointness of the sets in the union. as usual, a ⊂ b denotes that a is a subset of b. we call a sequence an increasing (and we will nearly always denote this fact by writing an ↗) when an ⊂ an+1 for all n ≥ 1. we call the sequence decreasing (denoted by an ↘) when an ⊃ an+1 for all n ≥ 1. we call the sequence monotone if it is either increasing or decreasing. let ω denote a generic element of ω. we"
13,1,"['indicator function', 'function', 'indicator']", Basic Properties of Measures,seg_3,"will use 1a(·) to denote the indicator function of a, which equals 1 or 0 at ω according as ω ∈ a or ω ∈/ a. (b) a will be called a field if it is closed under complements and unions. (that is, a and b in a requires that ac and a ∪ b be in a.) [note that both ω and ∅ are necessarily in a, as a was assumed to be nonvoid, with ω = a ∪ ac and ∅ = ωc.] (c) a will be called a σ-field if it is closed under complements and countable unions. (that is, a,a1, a2, . . . in a requires that ac and ∪1∞ an be in a.) (d) a will be called a monotone class provided it contains ∪∞1 an for all increasing sequences an in a and contains ∩∞1 an for all decreasing sequences an in a. (e) (ω,a) will be called a measurable space provided a is a σ-field of subsets of ω. (f) a will be called a π-system provided ab is in a for all a and b in a; and a will be called a π̄-system when ω in a is also guaranteed."
14,1,[], Basic Properties of Measures,seg_3,"if a is a field (or a σ-field), then it is closed under intersections (under countable intersections); since ab = (ac ∪ bc)c (since ∩1∞an = (∪1∞anc )c). likewise, we could have used “intersection” instead of “union” in our definitions by making use of a ∪ b = (ac ∩ bc)c and ∪∞1 an = (∩∞1 acn)c. (this used de morgan’s laws.)"
15,1,[], Basic Properties of Measures,seg_3,"proposition 1.1 (closure under intersections) (a) arbitrary intersections of fields, σ-fields, or monotone classes are fields, σ-fields, or monotone classes, respectively. [for example, f ≡ ∩{fα : fα is a field under consideration} is a field.] (b) there is a minimal field, σ-field, or monotone class generated by (or, containing) any specified class c of subsets of ω. call c the generators. for example,"
