,Relevance,Tags,Heading,Seg,Sentence
0,1,"['statistics', 'data']",Chapter  Data Collection,seg_1,"this chapter explains some basic concepts within statistics. also, we look at the most important ways to collect data in surveys."
1,1,"['data collection', 'data']",Chapter  Data Collection,seg_1,"statistics can be defined as a collection of techniques used when planning a data collection, and when subsequently analyzing and presenting data."
2,1,"['statistics', 'probability theory', 'probability', 'population', 'statistical']",Chapter  Data Collection,seg_1,"dating back to ancient times people have needed knowledge about population size, to carry out a census of the armies or calculate expected taxes. the word statistics is derived from the word “status” (originally coming from latin); and it was exactly the status of society, which was the subject of the first statistics! later emerged probability theory (in connection with games!), demographics and insurance science as areas, in which statistical thinking was essential."
3,1,"['process', 'statistics', 'data']",Chapter  Data Collection,seg_1,"in today’s digital age it is easy to collect as well as process and disseminate data, and therefore statistics is used for a variety of surveys throughout society."
4,1,['statistical'],Chapter  Data Collection,seg_1,most statistical surveys can be divided into the following phases:
5,1,"['data collection', 'data']",Chapter  Data Collection,seg_1,1. clarification of concepts 2. planning of data collection 3. data collection 4. analysis and presentation of data 5. conclusion
6,1,['statisticians'],Chapter  Data Collection,seg_1,statistical methods (and statisticians!) are particularly useful in phases 2 and 4 of the survey.
7,1,['statistics'],Chapter  Data Collection,seg_1,there are two kinds of statistics:
8,1,"['descriptive statistics', 'statistics']",Chapter  Data Collection,seg_1,– descriptive statistics – analytical statistics
9,1,"['statistics', 'data', 'statistical', 'tables', 'percentages', 'charts']",Chapter  Data Collection,seg_1,"descriptive statistics means describing data using tables, charts and simple statistical calculations such as averages, percentages, etc. this is what many people understand by the word “statistics”. it was also the kind of statistics that was produced in ancient times."
10,1,"['estimate', 'statistics', 'data', 'probability']",Chapter  Data Collection,seg_1,"analytical statistics is used to assess differences and relationships in data. for example, we could examine whether there is a relation between height and weight of a group of persons; or whether there is a difference between height of boys and height of girls, as well as provide an estimate of how large this difference is. analytical statistics is a mathematical discipline, based on calculus of probability. it is a relatively new discipline that has been developed throughout the twentieth century."
