,Relevance,Tags,Heading,Seg,Sentence
0,0,[], DESCRIPTIVE STATISTICS,seg_1,"after finishing the chapter, students will be able to"
1,1,['statistics'], DESCRIPTIVE STATISTICS,seg_1,◾ explain the meaning and uses of statistics
2,1,"['measurement', 'scales of measurement', 'standard']", DESCRIPTIVE STATISTICS,seg_1,◾ describe the standard scales of measurement
3,1,['summation'], DESCRIPTIVE STATISTICS,seg_1,◾ interpret various summation (∑) and product (∏) notations
4,1,"['data', 'transformations']", DESCRIPTIVE STATISTICS,seg_1,◾ apply different types of data transformations
5,1,"['data', 'discretization']", DESCRIPTIVE STATISTICS,seg_1,◾ distinguish various data discretization algorithms (ddas)
6,1,"['discretization', 'range', 'statistics', 'factorial', 'falling factorials', 'data', 'permutation', 'inferential statistics', 'scales of measurement', 'combination', 'summation', 'rising and falling factorials', 'continuous', 'measurement', 'transform']", INTRODUCTION,seg_3,"statistics has borrowed several ideas and notations from various other fields. this section summarizes some important concepts and notations that will be used in this book. as examples, the factorial, permutation and combination, summation, product (including rising and falling factorials), and other mathematical notations including set-theoretic operators are discussed in this chapter. these notations are extensively used in descriptive and inferential statistics. a discussion on the most commonly used scales of measurement in this chapter gives better insight into the types of data most often encountered. various techniques to transform these data into any desired range are also given. data discretization techniques to categorize continuous data are exemplified. these notations, tools, and techniques are immensely useful to better grasp the rest of the chapters."
7,1,"['trimmed means', 'kurtosis', 'case', 'location', 'harmonic', 'geometric', 'sample median', 'sample', 'quartiles', 'data', 'percentiles', 'trials', 'population', 'weighted means', 'skewness', 'statistical', 'median', 'location measures']", INTRODUCTION,seg_3,"most of the statistical analyses use a sample of data values. these data are either collected from a target population, obtained from field trials, or generated randomly. they are then either summarized (using summary measures) or subjected to one or more analyses. popular summarization measures include location measures, spread measures, skewness and kurtosis measures, dependency measures, and other measures. chapter 2 introduces the most common location measures. these include arithmetic, geometric, and harmonic means; median; and the mode. trimmed versions of these measures are obtained by dropping data values at either or both of the extremes. as a special case, as the geometric and harmonic means are defined only for positive data values ($ $0), an analyst may drop all zero and negative data values to obtain left-trimmed versions of them. the trimmed means, weighted means, and their updating formula are given. the sample median, mode, quartiles, and percentiles are also explained."
8,1,"['coefficient of variation', 'sample', 'linear', 'sample variance', 'deviation', 'coefficient', 'range', 'nonlinear', 'variation', 'categorization', 'standard', 'standard deviation', 'variance']", INTRODUCTION,seg_3,"dispersion measures are discussed in chapter 3. a categorization of spread measures helps the reader to distinguish between linear and nonlinear measures, pivotal and pivotless measures, additive and nonadditive measures, absolute and relative measures, and distance-based measures. the most frequently used spread measures are the sample range, variance, or standard deviation. these are discussed and some updating formulae for sample variance are derived. the sample variance and covariance can be computed recursively using a divide-and-conquer strategy by dividing the sample into two subsamples and pooling the corresponding variance or covariance of subsamples in a sensible and orderly way. the coefficient of variation and gini coefficient are also discussed."
9,1,"['complete enumeration', 'kurtosis', 'conditional', 'location', 'probability', 'bayes', 'derangements', 'partitions', 'probability theory', 'permutation', 'skewness', 'recurrence', 'functions', 'urn models', 'combination', 'bayes theorem', 'distribution', 'recurrence relations', 'conditional probability']", INTRODUCTION,seg_3,"popular measures of skewness and kurtosis are discussed in chapter 4. different types of skewness measures such as location and scale-based measures, quartile-based measures, moment-based measures, measures that utilize inverse of distribution functions, or l-moments are discussed. the measures of kurtosis discussed are skewness–kurtosis bounds, l-kurtosis, and spectral kurtosis. chapter 5 discusses probability theory with emphasis on solving problems from various fields. essential tools and techniques such as permutation and combination, cyclic permutation, complete enumeration, trees, principle of inclusion and exclusion, recurrence relations, derangements, urn models, and partitions used to solve probability problems are discussed, and conditional probability and bayes theorem are introduced."
