,Relevance,Tags,Heading,Seg,Sentence,Enc Relevance,Enc Tags,Enc Heading,Enc Sentence
0,1,"['data', 'probability', 'processes', 'probability theory', 'random', 'statistics']",Chapter  Basics of Probability Theory,seg_1,"abstract statistics deals with the collection and interpretation of data. this chapter lays a foundation that allows to rigorously describe non-deterministic processes and to reason about non-deterministic quantities. the mathematical framework is given by probability theory, whose objects of interest are random quantities, their description and properties.",tensor(1),"tensor([0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 0., 0., 0., 0., 0., 0.,
        1., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([ 3127, 24078,  1997,  9723,  3399])","tensor([  101, 10061,  6747,  9144,  2007,  1996,  3074,  1998,  7613,  1997,
         2951,  1012,  2023,  3127, 19764,  1037,  3192,  2008,  4473,  2000,
        20001,  2135,  6235,  2512,  1011, 28283, 25300, 10074,  6194,  1998,
         2000,  3114,  2055,  2512,  1011, 28283, 25300, 10074, 12450,  1012,
         1996,  8045,  7705,  2003,  2445,  2011,  9723,  3399,  1010,  3005,
         5200,  1997,  3037,  2024,  6721, 12450,  1010,  2037,  6412,  1998,
         5144,  1012,   102])"
1,1,"['quantile', 'moment', 'probability', 'distribution']",Chapter  Basics of Probability Theory,seg_1,keywords probability · distribution · moment · quantile,tensor(1),"tensor([0., 0., 0., 1., 0., 1., 0., 1., 0., 1., 1., 0.])","tensor([ 3127, 24078,  1997,  9723,  3399])","tensor([  101,  3145, 22104,  9723,  1087,  4353,  1087,  2617,  1087, 24110,
        15286,   102])"
2,1,"['data', 'set', 'processes', 'probability', 'probability theory', 'random sample', 'sample', 'random', 'statistics']", Probability and Events,seg_3,"in statistics, we are concerned with the collection, analysis, and interpretation of data, typically given as a random sample from a large set. we therefore need to lay a foundation in probability theory that allows us to formally represent nondeterministic processes and study their properties.",tensor(1),"tensor([0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0.,
        0., 0., 0., 0., 1., 1., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 1., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0.,
        0., 0., 0.])","tensor([9723, 1998, 2824])","tensor([  101,  1999,  6747,  1010,  2057,  2024,  4986,  2007,  1996,  3074,
         1010,  4106,  1010,  1998,  7613,  1997,  2951,  1010,  4050,  2445,
         2004,  1037,  6721,  7099,  2013,  1037,  2312,  2275,  1012,  2057,
         3568,  2342,  2000,  3913,  1037,  3192,  1999,  9723,  3399,  2008,
         4473,  2149,  2000,  6246,  5050,  2512,  3207,  3334, 25300, 10074,
         6194,  1998,  2817,  2037,  5144,  1012,   102])"
3,1,"['set', 'outcomes', 'outcome']", Probability and Events,seg_3,"a first example. let us consider the following situation: a dice is rolled leading to any of the numbers {1, . . . , 6} as a possible outcome. with two dice, the possible outcomes are described by the set",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0.,
        0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 1., 0.])","tensor([9723, 1998, 2824])","tensor([  101,  1037,  2034,  2742,  1012,  2292,  2149,  5136,  1996,  2206,
         3663,  1024,  1037, 18740,  2003,  4565,  2877,  2000,  2151,  1997,
         1996,  3616,  1063,  1015,  1010,  1012,  1012,  1012,  1010,  1020,
         1065,  2004,  1037,  2825,  9560,  1012,  2007,  2048, 18740,  1010,
         1996,  2825, 13105,  2024,  2649,  2011,  1996,  2275,   102])"
4,1,"['set', 'outcomes']", Probability and Events,seg_3,of size | | = 36. the set of outcomes that lead to a sum of at least 10 is then,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 1., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0.])","tensor([9723, 1998, 2824])","tensor([  101,  1997,  2946,  1064,  1064,  1027,  4029,  1012,  1996,  2275,
         1997, 13105,  2008,  2599,  2000,  1037,  7680,  1997,  2012,  2560,
         2184,  2003,  2059,   102])"
5,1,"['set', 'probability', 'outcomes']", Probability and Events,seg_3,a set of size 6. a first definition of the probability that we will roll a sum of at least 10 is given by counting the number of outcomes that lead to a sum larger or equal,tensor(1),"tensor([0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])","tensor([9723, 1998, 2824])","tensor([  101,  1037,  2275,  1997,  2946,  1020,  1012,  1037,  2034,  6210,
         1997,  1996,  9723,  2008,  2057,  2097,  4897,  1037,  7680,  1997,
         2012,  2560,  2184,  2003,  2445,  2011, 10320,  1996,  2193,  1997,
        13105,  2008,  2599,  2000,  1037,  7680,  3469,  2030,  5020,   102])"
6,1,['outcomes'], Probability and Events,seg_3,10 and divide it by the number of all possible outcomes:,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0.])","tensor([9723, 1998, 2824])","tensor([  101,  2184,  1998, 11443,  2009,  2011,  1996,  2193,  1997,  2035,
         2825, 13105,  1024,   102])"
7,1,['outcomes'], Probability and Events,seg_3,with the intuitive interpretation that 6 out of 36 possible outcomes are of the desired type. this definition implicitly assumes that each of the 36 possible outcomes has the same chance of occurring.,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0.,
        0., 0.])","tensor([9723, 1998, 2824])","tensor([  101,  2007,  1996, 29202,  7613,  2008,  1020,  2041,  1997,  4029,
         2825, 13105,  2024,  1997,  1996,  9059,  2828,  1012,  2023,  6210,
        24655,  2135, 15980,  2008,  2169,  1997,  1996,  4029,  2825, 13105,
         2038,  1996,  2168,  3382,  1997, 10066,  1012,   102])"
8,1,"['sets', 'probability', 'events', 'outcomes', 'event', 'intersection']", Probability and Events,seg_3,"any collection of possible outcomes x ⊆ is called an event; the previous definition assigns a probability of p(x) = |x |/| | to such an event. events are sets and we can apply the usual operations on them: let a be as above the event of having a sum of at least 10. let us further denote by b the event that both dice show an even number; thus, b = {(2, 2), (2, 4), (2, 6), (4, 2), (4, 4), (4, 6), (6, 2), (6, 4), (6, 6)} and |b| = 9. the event c of rolling a sum of at least 10 and both dice even is then described by the intersection of the two events:",tensor(1),"tensor([0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0.,
        1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0.,
        1., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 1., 0., 0., 0., 1., 0., 0.])","tensor([9723, 1998, 2824])","tensor([  101,  2151,  3074,  1997,  2825, 13105,  1060,  1611,  2003,  2170,
         2019,  2724,  1025,  1996,  3025,  6210, 24022,  1037,  9723,  1997,
         1052,  1006,  1060,  1007,  1027,  1064,  1060,  1064,  1013,  1064,
         1064,  2000,  2107,  2019,  2724,  1012,  2824,  2024,  4520,  1998,
         2057,  2064,  6611,  1996,  5156,  3136,  2006,  2068,  1024,  2292,
         1037,  2022,  2004,  2682,  1996,  2724,  1997,  2383,  1037,  7680,
         1997,  2012,  2560,  2184,  1012,  2292,  2149,  2582, 19090,  2011,
         1038,  1996,  2724,  2008,  2119, 18740,  2265,  2019,  2130,  2193,
         1025,  2947,  1010,  1038,  1027,  1063,  1006,  1016,  1010,  1016,
         1007,  1010,  1006,  1016,  1010,  1018,  1007,  1010,  1006,  1016,
         1010,  1020,  1007,  1010,  1006,  1018,  1010,  1016,  1007,  1010,
         1006,  1018,  1010,  1018,  1007,  1010,  1006,  1018,  1010,  1020,
         1007,  1010,  1006,  1020,  1010,  1016,  1007,  1010,  1006,  1020,
         1010,  1018,  1007,  1010,  1006,  1020,  1010,  1020,  1007,  1065,
         1998,  1064,  1038,  1064,  1027,  1023,  1012,  1996,  2724,  1039,
         1997,  5291,  1037,  7680,  1997,  2012,  2560,  2184,  1998,  2119,
        18740,  2130,  2003,  2059,  2649,  2011,  1996,  6840,  1997,  1996,
         2048,  2824,  1024,   102])"
9,1,['probability'], Probability and Events,seg_3,and has probability,tensor(1),"tensor([0., 0., 0., 1., 0.])","tensor([9723, 1998, 2824])","tensor([ 101, 1998, 2038, 9723,  102])"
