,Relevance,Tags,Heading,Seg,Sentence,Enc Relevance,Enc Tags,Enc Heading,Enc Sentence
0,1,"['probability', 'statistics']", Why probability and statistics,seg_1,"is everything on this planet determined by randomness? this question is open to philosophical debate. what is certain is that every day thousands and thousands of engineers, scientists, business persons, manufacturers, and others are using tools from probability and statistics.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 1., 0., 0.])","tensor([2339, 9723, 1998, 6747])","tensor([ 101, 2003, 2673, 2006, 2023, 4774, 4340, 2011, 6721, 2791, 1029, 2023,
        3160, 2003, 2330, 2000, 9569, 5981, 1012, 2054, 2003, 3056, 2003, 2008,
        2296, 2154, 5190, 1998, 5190, 1997, 6145, 1010, 6529, 1010, 2449, 5381,
        1010, 8712, 1010, 1998, 2500, 2024, 2478, 5906, 2013, 9723, 1998, 6747,
        1012,  102])"
1,1,"['probability', 'statistics']", Why probability and statistics,seg_1,"the theory and practice of probability and statistics were developed during the last century and are still actively being refined and extended. in this book we will introduce the basic notions and ideas, and in this first chapter we present a diverse collection of examples where randomness plays a role.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 1., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0.])","tensor([2339, 9723, 1998, 6747])","tensor([  101,  1996,  3399,  1998,  3218,  1997,  9723,  1998,  6747,  2020,
         2764,  2076,  1996,  2197,  2301,  1998,  2024,  2145,  8851,  2108,
        15514,  1998,  3668,  1012,  1999,  2023,  2338,  2057,  2097,  8970,
         1996,  3937, 21951,  1998,  4784,  1010,  1998,  1999,  2023,  2034,
         3127,  2057,  2556,  1037,  7578,  3074,  1997,  4973,  2073,  6721,
         2791,  3248,  1037,  2535,  1012,   102])"
2,1,"['random', 'correlation', 'percentage']", Biometry iris recognition,seg_3,"biometry is the art of identifying a person on the basis of his or her personal biological characteristics, such as fingerprints or voice. from recent research it appears that with the human iris one can beat all existing automatic human identification systems. iris recognition technology is based on the visible qualities of the iris. it converts these—via a video camera—into an “iris code” consisting of just 2048 bits. this is done in such a way that the code is hardly sensitive to the size of the iris or the size of the pupil. however, at different times and different places the iris code of the same person will not be exactly the same. thus one has to allow for a certain percentage of mismatching bits when identifying a person. in fact, the system allows about 34% mismatches! how can this lead to a reliable identification system? the miracle is that different persons have very different irides. in particular, over a large collection of different irides the code bits take the values 0 and 1 about half of the time. but that is certainly not sufficient: if one bit would determine the other 2047, then we could only distinguish two persons. in other words, single bits may be random, but the correlation between bits is also crucial (we will discuss correlation at length in chapter 10). john daugman who has developed the iris recognition technology made comparisons between 222743 pairs of iris",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 1., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([16012, 24327, 11173,  5038])","tensor([  101, 16012, 24327,  2003,  1996,  2396,  1997, 12151,  1037,  2711,
         2006,  1996,  3978,  1997,  2010,  2030,  2014,  3167,  6897,  6459,
         1010,  2107,  2004, 27556,  2030,  2376,  1012,  2013,  3522,  2470,
         2009,  3544,  2008,  2007,  1996,  2529, 11173,  2028,  2064,  3786,
         2035,  4493,  6882,  2529,  8720,  3001,  1012, 11173,  5038,  2974,
         2003,  2241,  2006,  1996,  5710, 11647,  1997,  1996, 11173,  1012,
         2009, 19884,  2122,  1517,  3081,  1037,  2678,  4950,  1517,  2046,
         2019,  1523, 11173,  3642,  1524,  5398,  1997,  2074, 19627,  2620,
         9017,  1012,  2023,  2003,  2589,  1999,  2107,  1037,  2126,  2008,
         1996,  3642,  2003,  6684,  7591,  2000,  1996,  2946,  1997,  1996,
        11173,  2030,  1996,  2946,  1997,  1996, 11136,  1012,  2174,  1010,
         2012,  2367,  2335,  1998,  2367,  3182,  1996, 11173,  3642,  1997,
         1996,  2168,  2711,  2097,  2025,  2022,  3599,  1996,  2168,  1012,
         2947,  2028,  2038,  2000,  3499,  2005,  1037,  3056,  7017,  1997,
        28616, 18900,  8450,  9017,  2043, 12151,  1037,  2711,  1012,  1999,
         2755,  1010,  1996,  2291,  4473,  2055,  4090,  1003, 28616, 18900,
         8376,   999,  2129,  2064,  2023,  2599,  2000,  1037, 10539,  8720,
         2291,  1029,  1996,  9727,  2003,  2008,  2367,  5381,  2031,  2200,
         2367, 20868,  8621,  1012,  1999,  3327,  1010,  2058,  1037,  2312,
         3074,  1997,  2367, 20868,  8621,  1996,  3642,  9017,  2202,  1996,
         5300,  1014,  1998,  1015,  2055,  2431,  1997,  1996,  2051,  1012,
         2021,  2008,  2003,  5121,  2025,  7182,  1024,  2065,  2028,  2978,
         2052,  5646,  1996,  2060, 19627,  2581,  1010,  2059,  2057,  2071,
         2069, 10782,  2048,  5381,  1012,  1999,  2060,  2616,  1010,  2309,
         9017,  2089,  2022,  6721,  1010,  2021,  1996, 16902,  2090,  9017,
         2003,  2036, 10232,  1006,  2057,  2097,  6848, 16902,  2012,  3091,
         1999,  3127,  2184,  1007,  1012,  2198,  4830, 15916,  2386,  2040,
         2038,  2764,  1996, 11173,  5038,  2974,  2081, 18539,  2090, 19015,
         2581, 23777,  7689,  1997, 11173,   102])"
3,1,"['histograms', 'probability', 'interval', 'data']", Biometry iris recognition,seg_3,"codes and concluded that of the 2048 bits 266 may be considered as uncorrelated ([6]). he then argues that we may consider an iris code as the result of 266 coin tosses with a fair coin. this implies that if we compare two such codes from different persons, then there is an astronomically small probability that these two differ in less than 34% of the bits—almost all pairs will differ in about 50% of the bits. this is illustrated in figure 1.1, which originates from [6], and was kindly provided by john daugman. the iris code data consist of numbers between 0 and 1, each a hamming distance (the fraction of mismatches) between two iris codes. the data have been summarized in two histograms, that is, two graphs that show the number of counts of hamming distances falling in a certain interval. we will encounter histograms and other summaries of data in chapter 15. one sees from the figure that for codes from the same iris (left side) the mismatch fraction is only about 0.09, while for different irides (right side) it is about 0.46.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 1., 1., 1., 1.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 1., 0., 0., 0., 0., 1., 1., 1., 1., 0., 0., 0., 0., 0., 0., 1.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([16012, 24327, 11173,  5038])","tensor([  101,  9537,  1998,  5531,  2008,  1997,  1996, 19627,  2620,  9017,
        25162,  2089,  2022,  2641,  2004,  4895, 27108, 16570,  4383,  1006,
         1031,  1020,  1033,  1007,  1012,  2002,  2059,  9251,  2008,  2057,
         2089,  5136,  2019, 11173,  3642,  2004,  1996,  2765,  1997, 25162,
         9226, 10055,  2229,  2007,  1037,  4189,  9226,  1012,  2023, 12748,
         2008,  2065,  2057, 12826,  2048,  2107,  9537,  2013,  2367,  5381,
         1010,  2059,  2045,  2003,  2019, 13674,  2135,  2235,  9723,  2008,
         2122,  2048, 11234,  1999,  2625,  2084,  4090,  1003,  1997,  1996,
         9017,  1517,  2471,  2035,  7689,  2097, 11234,  1999,  2055,  2753,
         1003,  1997,  1996,  9017,  1012,  2023,  2003,  7203,  1999,  3275,
         1015,  1012,  1015,  1010,  2029, 16896,  2013,  1031,  1020,  1033,
         1010,  1998,  2001, 19045,  3024,  2011,  2198,  4830, 15916,  2386,
         1012,  1996, 11173,  3642,  2951,  8676,  1997,  3616,  2090,  1014,
         1998,  1015,  1010,  2169,  1037, 10654,  6562,  3292,  1006,  1996,
        12884,  1997, 28616, 18900,  8376,  1007,  2090,  2048, 11173,  9537,
         1012,  1996,  2951,  2031,  2042, 22539,  1999,  2048,  2010,  3406,
        13113,  2015,  1010,  2008,  2003,  1010,  2048, 19287,  2008,  2265,
         1996,  2193,  1997,  9294,  1997, 10654,  6562, 12103,  4634,  1999,
         1037,  3056, 13483,  1012,  2057,  2097,  8087,  2010,  3406, 13113,
         2015,  1998,  2060,  7680,  7849,  3111,  1997,  2951,  1999,  3127,
         2321,  1012,  2028,  5927,  2013,  1996,  3275,  2008,  2005,  9537,
         2013,  1996,  2168, 11173,  1006,  2187,  2217,  1007,  1996, 28616,
        18900,  2818, 12884,  2003,  2069,  2055,  1014,  1012,  5641,  1010,
         2096,  2005,  2367, 20868,  8621,  1006,  2157,  2217,  1007,  2009,
         2003,  2055,  1014,  1012,  4805,  1012,   102])"
4,1,['events'], Biometry iris recognition,seg_3,"you may still wonder how it is possible that irides distinguish people so well. what about twins, for instance? the surprising thing is that although the color of eyes is hereditary, many features of iris patterns seem to be produced by so-called epigenetic events. this means that during embryo development the iris structure develops randomly. in particular, the iris patterns of (monozygotic) twins are as discrepant as those of two arbitrary individuals.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0.])","tensor([16012, 24327, 11173,  5038])","tensor([  101,  2017,  2089,  2145,  4687,  2129,  2009,  2003,  2825,  2008,
        20868,  8621, 10782,  2111,  2061,  2092,  1012,  2054,  2055,  8178,
         1010,  2005,  6013,  1029,  1996, 11341,  2518,  2003,  2008,  2348,
         1996,  3609,  1997,  2159,  2003, 14800,  1010,  2116,  2838,  1997,
        11173,  7060,  4025,  2000,  2022,  2550,  2011,  2061,  1011,  2170,
         4958, 29206, 16530,  2824,  1012,  2023,  2965,  2008,  2076, 28086,
         2458,  1996, 11173,  3252, 11791, 18154,  1012,  1999,  3327,  1010,
         1996, 11173,  7060,  1997,  1006, 18847,  9096,  3995,  4588,  1007,
         8178,  2024,  2004,  5860,  2890,  9739,  2102,  2004,  2216,  1997,
         2048, 15275,  3633,  1012,   102])"
5,0,[], Biometry iris recognition,seg_3,"for this reason, as early as in the 1930s, eye specialists proposed that iris patterns might be used for identification purposes.",tensor(0),"tensor([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0])","tensor([16012, 24327, 11173,  5038])","tensor([  101,  2005,  2023,  3114,  1010,  2004,  2220,  2004,  1999,  1996,
         5687,  1010,  3239, 15744,  3818,  2008, 11173,  7060,  2453,  2022,
         2109,  2005,  8720,  5682,  1012,   102])"
6,1,"['confidence interval', 'data', 'interval', 'standard', 'population', 'statistical', 'confidence', 'average', 'combination']", Killer football,seg_5,"a couple of years ago the prestigious british medical journal published a paper with the title “cardiovascular mortality in dutch men during 1996 european football championship: longitudinal population study” ([41]). the authors claim to have shown that the effect of a single football match is detectable in national mortality data. they consider the mortality from infarctions (heart attacks) and strokes, and the “explanation” of the increase is a combination of heavy alcohol consumption and stress caused by watching the football match on june 22 between the netherlands and france (lost by the dutch team!). the authors mainly support their claim with a figure like figure 1.2, which shows the number of deaths from the causes mentioned (for men over 45), during the period june 17 to june 27, 1996. the middle horizontal line marks the average number of deaths on these days, and the upper and lower horizontal lines mark what the authors call the 95% confidence interval. the construction of such an interval is usually performed with standard statistical techniques, which you will learn in chapter 23. the interpretation of such an interval is rather tricky. that the bar on june 22 sticks out off the confidence interval should support the “killer claim.”",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 0., 0., 0., 0., 0., 0., 1., 0.,
        0., 0., 0., 1., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1.,
        1., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([6359, 2374])","tensor([  101,  1037,  3232,  1997,  2086,  3283,  1996,  8919,  2329,  2966,
         3485,  2405,  1037,  3259,  2007,  1996,  2516,  1523, 22935, 13356,
         1999,  3803,  2273,  2076,  2727,  2647,  2374,  2528,  1024, 20134,
         2313,  2817,  1524,  1006,  1031,  4601,  1033,  1007,  1012,  1996,
         6048,  4366,  2000,  2031,  3491,  2008,  1996,  3466,  1997,  1037,
         2309,  2374,  2674,  2003, 11487,  3085,  1999,  2120, 13356,  2951,
         1012,  2027,  5136,  1996, 13356,  2013,  1999, 14971, 22014,  1006,
         2540,  4491,  1007,  1998, 13692,  1010,  1998,  1996,  1523,  7526,
         1524,  1997,  1996,  3623,  2003,  1037,  5257,  1997,  3082,  6544,
         8381,  1998,  6911,  3303,  2011,  3666,  1996,  2374,  2674,  2006,
         2238,  2570,  2090,  1996,  4549,  1998,  2605,  1006,  2439,  2011,
         1996,  3803,  2136,   999,  1007,  1012,  1996,  6048,  3701,  2490,
         2037,  4366,  2007,  1037,  3275,  2066,  3275,  1015,  1012,  1016,
         1010,  2029,  3065,  1996,  2193,  1997,  6677,  2013,  1996,  5320,
         3855,  1006,  2005,  2273,  2058,  3429,  1007,  1010,  2076,  1996,
         2558,  2238,  2459,  2000,  2238,  2676,  1010,  2727,  1012,  1996,
         2690,  9876,  2240,  6017,  1996,  2779,  2193,  1997,  6677,  2006,
         2122,  2420,  1010,  1998,  1996,  3356,  1998,  2896,  9876,  3210,
         2928,  2054,  1996,  6048,  2655,  1996,  5345,  1003,  7023, 13483,
         1012,  1996,  2810,  1997,  2107,  2019, 13483,  2003,  2788,  2864,
         2007,  3115,  7778,  5461,  1010,  2029,  2017,  2097,  4553,  1999,
         3127,  2603,  1012,  1996,  7613,  1997,  2107,  2019, 13483,  2003,
         2738, 24026,  1012,  2008,  1996,  3347,  2006,  2238,  2570, 12668,
         2041,  2125,  1996,  7023, 13483,  2323,  2490,  1996,  1523,  6359,
         4366,  1012,  1524,   102])"
7,1,"['probability', 'poisson', 'poisson process', 'process', 'model']", Killer football,seg_5,"it is rather surprising that such a conclusion is based on a single football match, and one could wonder why no probability model is proposed in the paper. in fact, as we shall see in chapter 12, it would not be a bad idea to model the time points at which deaths occur as a so-called poisson process.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 1., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 1., 0., 0.])","tensor([6359, 2374])","tensor([  101,  2009,  2003,  2738, 11341,  2008,  2107,  1037,  7091,  2003,
         2241,  2006,  1037,  2309,  2374,  2674,  1010,  1998,  2028,  2071,
         4687,  2339,  2053,  9723,  2944,  2003,  3818,  1999,  1996,  3259,
         1012,  1999,  2755,  1010,  2004,  2057,  4618,  2156,  1999,  3127,
         2260,  1010,  2009,  2052,  2025,  2022,  1037,  2919,  2801,  2000,
         2944,  1996,  2051,  2685,  2012,  2029,  6677,  5258,  2004,  1037,
         2061,  1011,  2170, 13433, 24077,  2832,  1012,   102])"
8,1,"['mean', 'estimation', 'probability', 'interval', 'events', 'poisson', 'sample', 'poisson process', 'process', 'model', 'distribution', 'poisson distribution', 'average', 'data', 'sample mean', 'independent']", Killer football,seg_5,"once we have done this, we can compute how often a pattern like the one in the figure might occur—without paying attention to football matches and other high-risk national events. to do this we need the mean number of deaths per day. this number can be obtained from the data by an estimation procedure (the subject of chapters 19 to 23). we use the sample mean, which is equal to (10 · 27.2 + 41)/11 = 313/11 = 28.45. (here we have to make a computation like this because we only use the data in the paper: 27.2 is the average over the 5 days preceding and following the match, and 41 is the number of deaths on the day of the match.) now let phigh be the probability that there are 41 or more deaths on a day, and let pusual be the probability that there are between 21 and 34 deaths on a day—here 21 and 34 are the lowest and the highest number that fall in the interval in figure 1.2. from the formula of the poisson distribution given in chapter 12 one can compute that phigh = 0.008 and pusual = 0.820. since events on different days are independent according to the poisson process model, the probability p of a pattern as in the figure is",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1.,
        0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 1., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 1., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 1., 1., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 1.,
        0., 0., 0., 1., 1., 1., 1., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0.])","tensor([6359, 2374])","tensor([  101,  2320,  2057,  2031,  2589,  2023,  1010,  2057,  2064, 24134,
         2129,  2411,  1037,  5418,  2066,  1996,  2028,  1999,  1996,  3275,
         2453,  5258,  1517,  2302,  7079,  3086,  2000,  2374,  3503,  1998,
         2060,  2152,  1011,  3891,  2120,  2824,  1012,  2000,  2079,  2023,
         2057,  2342,  1996,  2812,  2193,  1997,  6677,  2566,  2154,  1012,
         2023,  2193,  2064,  2022,  4663,  2013,  1996,  2951,  2011,  2019,
        24155,  7709,  1006,  1996,  3395,  1997,  9159,  2539,  2000,  2603,
         1007,  1012,  2057,  2224,  1996,  7099,  2812,  1010,  2029,  2003,
         5020,  2000,  1006,  2184,  1087,  2676,  1012,  1016,  1009,  4601,
         1007,  1013,  2340,  1027, 22997,  1013,  2340,  1027,  2654,  1012,
         3429,  1012,  1006,  2182,  2057,  2031,  2000,  2191,  1037, 22334,
         2066,  2023,  2138,  2057,  2069,  2224,  1996,  2951,  1999,  1996,
         3259,  1024,  2676,  1012,  1016,  2003,  1996,  2779,  2058,  1996,
         1019,  2420, 11003,  1998,  2206,  1996,  2674,  1010,  1998,  4601,
         2003,  1996,  2193,  1997,  6677,  2006,  1996,  2154,  1997,  1996,
         2674,  1012,  1007,  2085,  2292, 13569,  5603,  2022,  1996,  9723,
         2008,  2045,  2024,  4601,  2030,  2062,  6677,  2006,  1037,  2154,
         1010,  1998,  2292, 16405,  6342,  2389,  2022,  1996,  9723,  2008,
         2045,  2024,  2090,  2538,  1998,  4090,  6677,  2006,  1037,  2154,
         1517,  2182,  2538,  1998,  4090,  2024,  1996,  7290,  1998,  1996,
         3284,  2193,  2008,  2991,  1999,  1996, 13483,  1999,  3275,  1015,
         1012,  1016,  1012,  2013,  1996,  5675,  1997,  1996, 13433, 24077,
         4353,  2445,  1999,  3127,  2260,  2028,  2064, 24134,  2008, 13569,
         5603,  1027,  1014,  1012,  4002,  2620,  1998, 16405,  6342,  2389,
         1027,  1014,  1012, 26667,  1012,  2144,  2824,  2006,  2367,  2420,
         2024,  2981,  2429,  2000,  1996, 13433, 24077,  2832,  2944,  1010,
         1996,  9723,  1052,  1997,  1037,  5418,  2004,  1999,  1996,  3275,
         2003,   102])"
9,1,['law of large numbers'], Killer football,seg_5,"from this it can be shown by (a generalization of) the law of large numbers (which we will study in chapter 13) that such a pattern would appear about once every 1/0.0011 = 899 days. so it is not overwhelmingly exceptional to find such a pattern, and the fact that there was an important football match on the day in the middle of the pattern might just have been a coincidence.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 1.,
        1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([6359, 2374])","tensor([  101,  2013,  2023,  2009,  2064,  2022,  3491,  2011,  1006,  1037,
         2236,  3989,  1997,  1007,  1996,  2375,  1997,  2312,  3616,  1006,
         2029,  2057,  2097,  2817,  1999,  3127,  2410,  1007,  2008,  2107,
         1037,  5418,  2052,  3711,  2055,  2320,  2296,  1015,  1013,  1014,
         1012, 25604,  2487,  1027,  6486,  2683,  2420,  1012,  2061,  2009,
         2003,  2025, 24783, 11813,  2000,  2424,  2107,  1037,  5418,  1010,
         1998,  1996,  2755,  2008,  2045,  2001,  2019,  2590,  2374,  2674,
         2006,  1996,  2154,  1999,  1996,  2690,  1997,  1996,  5418,  2453,
         2074,  2031,  2042,  1037, 16507,  1012,   102])"
