,Relevance,Tags,Heading,Seg,Sentence,Enc Relevance,Enc Tags,Enc Heading,Enc Sentence
0,1,"['sets', 'data sets', 'data']", Basics,seg_1,the purpose of this chapter is to get you started using r. it is assumed that you have a working installation of the software and of the iswr package that contains the data sets for this book. instructions for obtaining and installing the software are given in appendix a.,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1.,
        1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0.])",tensor([24078]),"tensor([  101,  1996,  3800,  1997,  2023,  3127,  2003,  2000,  2131,  2017,
         2318,  2478,  1054,  1012,  2009,  2003,  5071,  2008,  2017,  2031,
         1037,  2551,  8272,  1997,  1996,  4007,  1998,  1997,  1996,  2003,
        13088,  7427,  2008,  3397,  1996,  2951,  4520,  2005,  2023,  2338,
         1012,  8128,  2005, 11381,  1998, 23658,  1996,  4007,  2024,  2445,
         1999, 22524,  1037,  1012,   102])"
1,1,['independent'], Basics,seg_1,"the text that follows describes r version 2.6.2. as of this writing, that is the latest version of r. as far as possible, i present the issues in a way that is independent of the operating system in use and assume that the reader has the elementary operational knowledge to select from menus, move windows around, etc. i do, however, make exceptions where i am aware of specific difficulties with a particular platform or specific features of it.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0.])",tensor([24078]),"tensor([  101,  1996,  3793,  2008,  4076,  5577,  1054,  2544,  1016,  1012,
         1020,  1012,  1016,  1012,  2004,  1997,  2023,  3015,  1010,  2008,
         2003,  1996,  6745,  2544,  1997,  1054,  1012,  2004,  2521,  2004,
         2825,  1010,  1045,  2556,  1996,  3314,  1999,  1037,  2126,  2008,
         2003,  2981,  1997,  1996,  4082,  2291,  1999,  2224,  1998,  7868,
         2008,  1996,  8068,  2038,  1996,  4732,  6515,  3716,  2000,  7276,
         2013, 12183,  2015,  1010,  2693,  3645,  2105,  1010,  4385,  1012,
         1045,  2079,  1010,  2174,  1010,  2191, 11790,  2073,  1045,  2572,
         5204,  1997,  3563,  8190,  2007,  1037,  3327,  4132,  2030,  3563,
         2838,  1997,  2009,  1012,   102])"
2,0,[], First steps,seg_3,this section gives an introduction to the r computing environment and walks you through its most basic features.,tensor(0),"tensor([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])","tensor([2034, 4084])","tensor([ 101, 2023, 2930, 3957, 2019, 4955, 2000, 1996, 1054, 9798, 4044, 1998,
        7365, 2017, 2083, 2049, 2087, 3937, 2838, 1012,  102])"
3,1,['method'], First steps,seg_3,"starting r is straightforward, but the method will depend on your computing platform. you will be able to launch it from a system menu, by double-clicking an icon, or by entering the command “r” at the system command line. this will either produce a console window or cause r to start up as an interactive program in the current terminal window. in",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0.])","tensor([2034, 4084])","tensor([  101,  3225,  1054,  2003, 19647,  1010,  2021,  1996,  4118,  2097,
        12530,  2006,  2115,  9798,  4132,  1012,  2017,  2097,  2022,  2583,
         2000,  4888,  2009,  2013,  1037,  2291, 12183,  1010,  2011,  3313,
         1011, 22042,  2019, 12696,  1010,  2030,  2011,  5738,  1996,  3094,
         1523,  1054,  1524,  2012,  1996,  2291,  3094,  2240,  1012,  2023,
         2097,  2593,  3965,  1037, 10122,  3332,  2030,  3426,  1054,  2000,
         2707,  2039,  2004,  2019,  9123,  2565,  1999,  1996,  2783,  5536,
         3332,  1012,  1999,   102])"
4,1,"['model', 'graphical', 'case']", First steps,seg_3,"either case, r works fundamentally by the question-and-answer model: you enter a line with a command and press enter (←↩). then the program does something, prints the result if relevant, and asks for more input. when r is ready for input, it prints out its prompt, a “>”. it is possible to use r as a text-only application, and also in batch mode, but for the purposes of this chapter, i assume that you are sitting at a graphical workstation.",tensor(1),"tensor([0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0.])","tensor([2034, 4084])","tensor([  101,  2593,  2553,  1010,  1054,  2573, 24670,  2011,  1996,  3160,
         1011,  1998,  1011,  3437,  2944,  1024,  2017,  4607,  1037,  2240,
         2007,  1037,  3094,  1998,  2811,  4607,  1006,   100,  1007,  1012,
         2059,  1996,  2565,  2515,  2242,  1010, 11204,  1996,  2765,  2065,
         7882,  1010,  1998,  5176,  2005,  2062,  7953,  1012,  2043,  1054,
         2003,  3201,  2005,  7953,  1010,  2009, 11204,  2041,  2049, 25732,
         1010,  1037,  1523,  1028,  1524,  1012,  2009,  2003,  2825,  2000,
         2224,  1054,  2004,  1037,  3793,  1011,  2069,  4646,  1010,  1998,
         2036,  1999, 14108,  5549,  1010,  2021,  2005,  1996,  5682,  1997,
         2023,  3127,  1010,  1045,  7868,  2008,  2017,  2024,  3564,  2012,
         1037, 20477,  2573, 12516,  1012,   102])"
5,0,[], First steps,seg_3,"all the examples in this book should run if you type them in exactly as printed, provided that you have the iswr package not only installed but also loaded into your current search path. this is done by entering",tensor(0),"tensor([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])","tensor([2034, 4084])","tensor([  101,  2035,  1996,  4973,  1999,  2023,  2338,  2323,  2448,  2065,
         2017,  2828,  2068,  1999,  3599,  2004,  6267,  1010,  3024,  2008,
         2017,  2031,  1996,  2003, 13088,  7427,  2025,  2069,  5361,  2021,
         2036,  8209,  2046,  2115,  2783,  3945,  4130,  1012,  2023,  2003,
         2589,  2011,  5738,   102])"
6,0,[], First steps,seg_3,at the command prompt. you do not need to understand what the command does at this point. it is explained in section 2.1.5.,tensor(0),"tensor([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0])","tensor([2034, 4084])","tensor([  101,  2012,  1996,  3094, 25732,  1012,  2017,  2079,  2025,  2342,
         2000,  3305,  2054,  1996,  3094,  2515,  2012,  2023,  2391,  1012,
         2009,  2003,  4541,  1999,  2930,  1016,  1012,  1015,  1012,  1019,
         1012,   102])"
7,0,[], First steps,seg_3,"for a first impression of what r can do, try typing the following:",tensor(0),"tensor([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])","tensor([2034, 4084])","tensor([  101,  2005,  1037,  2034,  8605,  1997,  2054,  1054,  2064,  2079,
         1010,  3046, 22868,  1996,  2206,  1024,   102])"
8,1,"['graphics', 'random', 'normal', 'plots']", First steps,seg_3,this command draws 1000 numbers at random from the normal distribution (rnorm = random normal) and plots them in a pop-up graphics window. the result on a windows machine can be seen in figure 1.1.,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 1., 0., 0., 0., 0., 0., 0., 1.,
        1., 0., 0., 1., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([2034, 4084])","tensor([  101,  2023,  3094,  9891,  6694,  3616,  2012,  6721,  2013,  1996,
         3671,  4353,  1006, 29300,  2953,  2213,  1027,  6721,  3671,  1007,
         1998, 14811,  2068,  1999,  1037,  3769,  1011,  2039,  8389,  3332,
         1012,  1996,  2765,  2006,  1037,  3645,  3698,  2064,  2022,  2464,
         1999,  3275,  1015,  1012,  1015,  1012,   102])"
9,0,[], First steps,seg_3,"of course, you are not expected at this point to guess that you would obtain this result in that particular way. the example is chosen because it shows several components of the user interface in action. before the style",tensor(0),"tensor([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])","tensor([2034, 4084])","tensor([ 101, 1997, 2607, 1010, 2017, 2024, 2025, 3517, 2012, 2023, 2391, 2000,
        3984, 2008, 2017, 2052, 6855, 2023, 2765, 1999, 2008, 3327, 2126, 1012,
        1996, 2742, 2003, 4217, 2138, 2009, 3065, 2195, 6177, 1997, 1996, 5310,
        8278, 1999, 2895, 1012, 2077, 1996, 2806,  102])"
