,Relevance,Tags,Heading,Seg,Sentence,Enc Relevance,Enc Tags,Enc Heading,Enc Sentence
0,1,"['data', 'observations', 'sampling', 'experiments', 'statistics', 'statistical', 'case']",Chapter  Introduction to data,seg_1,"1.1 case study: using stents to prevent strokes 1.2 data basics 1.3 sampling principles and strategies 1.4 experiments scientists seek to answer questions using rigorous methods and careful observations. these observations – collected from the likes of field notes, surveys, and experiments – form the backbone of a statistical investigation and are called data. statistics is the study of how best to collect, analyze, and draw conclusions from data, and in this first chapter, we focus on both the properties of data and on the collection of data. for videos, slides, and other resources, please visit www.openintro.org/os",tensor(1),"tensor([0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0.,
        0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 1., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 1., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 1., 0., 1., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 1., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0.])","tensor([3127, 4955, 2000, 2951])","tensor([  101,  1015,  1012,  1015,  2553,  2817,  1024,  2478, 26261,  7666,
         2000,  4652, 13692,  1015,  1012,  1016,  2951, 24078,  1015,  1012,
         1017, 16227,  6481,  1998,  9942,  1015,  1012,  1018,  7885,  6529,
         6148,  2000,  3437,  3980,  2478, 20001,  4725,  1998,  6176,  9420,
         1012,  2122,  9420,  1516,  5067,  2013,  1996,  7777,  1997,  2492,
         3964,  1010, 12265,  1010,  1998,  7885,  1516,  2433,  1996, 21505,
         1997,  1037,  7778,  4812,  1998,  2024,  2170,  2951,  1012,  6747,
         2003,  1996,  2817,  1997,  2129,  2190,  2000,  8145,  1010, 17908,
         1010,  1998,  4009, 15306,  2013,  2951,  1010,  1998,  1999,  2023,
         2034,  3127,  1010,  2057,  3579,  2006,  2119,  1996,  5144,  1997,
         2951,  1998,  2006,  1996,  3074,  1997,  2951,  1012,  2005,  6876,
         1010, 14816,  1010,  1998,  2060,  4219,  1010,  3531,  3942,  7479,
         1012,  2330, 18447,  3217,  1012,  8917,  1013,  9808,   102])"
1,1,"['evaluating', 'treatment', 'statistics']", Case study using stents to prevent strokes,seg_3,"section 1.1 introduces a classic challenge in statistics: evaluating the efficacy of a medical treatment. terms in this section, and indeed much of this chapter, will all be revisited later in the text. the plan for now is simply to get a sense of the role statistics can play in practice.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 1., 0., 0., 0., 0., 0.,
        1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        1., 0., 0., 0., 0., 0., 0.])","tensor([ 2553,  2817,  2478, 26261,  7666,  2000,  4652, 13692])","tensor([  101,  2930,  1015,  1012,  1015, 13999,  1037,  4438,  4119,  1999,
         6747,  1024, 23208,  1996, 21150,  1997,  1037,  2966,  3949,  1012,
         3408,  1999,  2023,  2930,  1010,  1998,  5262,  2172,  1997,  2023,
         3127,  1010,  2097,  2035,  2022, 24354,  2101,  1999,  1996,  3793,
         1012,  1996,  2933,  2005,  2085,  2003,  3432,  2000,  2131,  1037,
         3168,  1997,  1996,  2535,  6747,  2064,  2377,  1999,  3218,  1012,
          102])"
2,1,"['risk', 'events', 'experiment']", Case study using stents to prevent strokes,seg_3,in this section we will consider an experiment that studies effectiveness of stents in treating patients at risk of stroke. stents are devices put inside blood vessels that assist in patient recovery after cardiac events and reduce the risk of an additional heart attack or death. many doctors have hoped that there would be similar benefits for patients at risk of stroke. we start by writing the principal question the researchers hope to answer:,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 1., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([ 2553,  2817,  2478, 26261,  7666,  2000,  4652, 13692])","tensor([  101,  1999,  2023,  2930,  2057,  2097,  5136,  2019,  7551,  2008,
         2913, 12353,  1997, 26261,  7666,  1999, 12318,  5022,  2012,  3891,
         1997,  6909,  1012, 26261,  7666,  2024,  5733,  2404,  2503,  2668,
         6470,  2008,  6509,  1999,  5776,  7233,  2044, 15050,  2824,  1998,
         5547,  1996,  3891,  1997,  2019,  3176,  2540,  2886,  2030,  2331,
         1012,  2116,  7435,  2031,  5113,  2008,  2045,  2052,  2022,  2714,
         6666,  2005,  5022,  2012,  3891,  1997,  6909,  1012,  2057,  2707,
         2011,  3015,  1996,  4054,  3160,  1996,  6950,  3246,  2000,  3437,
         1024,   102])"
3,1,['risk'], Case study using stents to prevent strokes,seg_3,does the use of stents reduce the risk of stroke?,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0.])","tensor([ 2553,  2817,  2478, 26261,  7666,  2000,  4652, 13692])","tensor([  101,  2515,  1996,  2224,  1997, 26261,  7666,  5547,  1996,  3891,
         1997,  6909,  1029,   102])"
4,1,['experiment'], Case study using stents to prevent strokes,seg_3,the researchers who asked this question conducted an experiment with 451 at-risk patients. each volunteer patient was randomly assigned to one of two groups:,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([ 2553,  2817,  2478, 26261,  7666,  2000,  4652, 13692])","tensor([  101,  1996,  6950,  2040,  2356,  2023,  3160,  4146,  2019,  7551,
         2007, 28161,  2012,  1011,  3891,  5022,  1012,  2169,  6951,  5776,
         2001, 18154,  4137,  2000,  2028,  1997,  2048,  2967,  1024,   102])"
5,1,"['risk', 'treatment group', 'treatment', 'factors']", Case study using stents to prevent strokes,seg_3,"treatment group. patients in the treatment group received a stent and medical management. the medical management included medications, management of risk factors, and help in lifestyle modification.",tensor(1),"tensor([0., 1., 1., 0., 0., 0., 0., 1., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 1., 1., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([ 2553,  2817,  2478, 26261,  7666,  2000,  4652, 13692])","tensor([  101,  3949,  2177,  1012,  5022,  1999,  1996,  3949,  2177,  2363,
         1037, 26261,  3372,  1998,  2966,  2968,  1012,  1996,  2966,  2968,
         2443, 20992,  1010,  2968,  1997,  3891,  5876,  1010,  1998,  2393,
         1999,  9580, 14080,  1012,   102])"
6,1,"['control group', 'treatment group', 'treatment', 'control']", Case study using stents to prevent strokes,seg_3,"control group. patients in the control group received the same medical management as the treatment group, but they did not receive stents.",tensor(1),"tensor([0., 1., 1., 0., 0., 0., 0., 1., 1., 0., 0., 0., 0., 0., 0., 0., 1., 1.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([ 2553,  2817,  2478, 26261,  7666,  2000,  4652, 13692])","tensor([  101,  2491,  2177,  1012,  5022,  1999,  1996,  2491,  2177,  2363,
         1996,  2168,  2966,  2968,  2004,  1996,  3949,  2177,  1010,  2021,
         2027,  2106,  2025,  4374, 26261,  7666,  1012,   102])"
7,1,"['control group', 'treatment group', 'treatment', 'control']", Case study using stents to prevent strokes,seg_3,"researchers randomly assigned 224 patients to the treatment group and 227 to the control group. in this study, the control group provides a reference point against which we can measure the medical impact of stents in the treatment group.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 0., 0., 0., 0., 1., 1., 0., 0.,
        0., 0., 0., 0., 1., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 1., 1., 0., 0.])","tensor([ 2553,  2817,  2478, 26261,  7666,  2000,  4652, 13692])","tensor([  101,  6950, 18154,  4137, 19711,  5022,  2000,  1996,  3949,  2177,
         1998, 21489,  2000,  1996,  2491,  2177,  1012,  1999,  2023,  2817,
         1010,  1996,  2491,  2177,  3640,  1037,  4431,  2391,  2114,  2029,
         2057,  2064,  5468,  1996,  2966,  4254,  1997, 26261,  7666,  1999,
         1996,  3949,  2177,  1012,   102])"
8,1,"['results', 'outcomes']", Case study using stents to prevent strokes,seg_3,"researchers studied the effect of stents at two time points: 30 days after enrollment and 365 days after enrollment. the results of 5 patients are summarized in figure 1.1. patient outcomes are recorded as “stroke” or “no event”, representing whether or not the patient had a stroke at the end of a time period.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([ 2553,  2817,  2478, 26261,  7666,  2000,  4652, 13692])","tensor([  101,  6950,  3273,  1996,  3466,  1997, 26261,  7666,  2012,  2048,
         2051,  2685,  1024,  2382,  2420,  2044, 10316,  1998, 19342,  2420,
         2044, 10316,  1012,  1996,  3463,  1997,  1019,  5022,  2024, 22539,
         1999,  3275,  1015,  1012,  1015,  1012,  5776, 13105,  2024,  2680,
         2004,  1523,  6909,  1524,  2030,  1523,  2053,  2724,  1524,  1010,
         5052,  3251,  2030,  2025,  1996,  5776,  2018,  1037,  6909,  2012,
         1996,  2203,  1997,  1037,  2051,  2558,  1012,   102])"
9,1,"['event ', 'treatment', 'event', 'control']", Case study using stents to prevent strokes,seg_3,patient group 0-30 days 0-365 days 1 treatment no event no event 2 treatment stroke stroke 3 treatment no event no event . . . . . . . . . 450 control no event no event 451 control no event no event,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 1., 0., 1., 0.,
        1., 0., 0., 0., 1., 0., 1., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 1., 0., 1., 0., 1., 0., 1., 0., 1., 0., 1., 0.])","tensor([ 2553,  2817,  2478, 26261,  7666,  2000,  4652, 13692])","tensor([  101,  5776,  2177,  1014,  1011,  2382,  2420,  1014,  1011, 19342,
         2420,  1015,  3949,  2053,  2724,  2053,  2724,  1016,  3949,  6909,
         6909,  1017,  3949,  2053,  2724,  2053,  2724,  1012,  1012,  1012,
         1012,  1012,  1012,  1012,  1012,  1012, 10332,  2491,  2053,  2724,
         2053,  2724, 28161,  2491,  2053,  2724,  2053,  2724,   102])"
