,Relevance,Tags,Heading,Seg,Sentence,Enc Relevance,Enc Tags,Enc Heading,Enc Sentence
0,1,"['function', 'limit', 'continuous']", Basic Properties of Measures,seg_3,"motivation 1.1 (the lebesgue integral) the riemann integral of a continuous function f (we will restrict attention to f(x) ≥ 0 on a ≤ x ≤ b for convenience) is formed by subdividing the domain of f, forming approximating sums, and passing to the limit. thus the mth riemann",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        1., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([3937, 5144, 1997, 5761])","tensor([  101, 14354,  1015,  1012,  1015,  1006,  1996,  3393, 12681,  9077,
         9897,  1007,  1996, 15544, 17545,  9897,  1997,  1037,  7142,  3853,
         1042,  1006,  2057,  2097, 21573,  3086,  2000,  1042,  1006,  1060,
         1007,  1609,  1014,  2006,  1037,  1608,  1060,  1608,  1038,  2005,
        15106,  1007,  2003,  2719,  2011,  4942,  4305, 17258,  2075,  1996,
         5884,  1997,  1042,  1010,  5716, 22480, 22835, 20571,  1010,  1998,
         4458,  2000,  1996,  5787,  1012,  2947,  1996, 11047,  2232, 15544,
        17545,   102])"
1,1,"['continuous', 'functions', 'interval']", Basic Properties of Measures,seg_3,"where a ≡ xm0 < xm1 < · · · < xmm ≡ b (with xm,i−1 ≤ x∗mi ≤ xmi for all i) satisfy meshm ≡ max[xmi − xm,i−1] → 0. note that xmi − xm,i−1 is the measure (or length) of the interval [xm,i−1, xmi], while f(x∗mi) approximates the values of f(x) for all xm,i−1 ≤ x ≤ xmi (at least it does if f is continuous on [a, b]). within the class c+ of all nonnegative continuous functions, this definition works reasonably well. but it has one major shortcoming. the conclusion",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([3937, 5144, 1997, 5761])","tensor([  101,  2073,  1037,  1607,  1060,  2213,  2692,  1026,  1060,  2213,
         2487,  1026,  1087,  1087,  1087,  1026,  1060,  7382,  1607,  1038,
         1006,  2007,  1060,  2213,  1010,  1045, 27944,  1608,  1060, 30125,
         4328,  1608,  1060,  4328,  2005,  2035,  1045,  1007, 13225, 20437,
         2213,  1607,  4098,  1031,  1060,  4328,  1597,  1060,  2213,  1010,
         1045, 27944,  1033,  1585,  1014,  1012,  3602,  2008,  1060,  4328,
         1597,  1060,  2213,  1010,  1045, 27944,  2003,  1996,  5468,  1006,
         2030,  3091,  1007,  1997,  1996, 13483,  1031,  1060,  2213,  1010,
         1045, 27944,  1010,  1060,  4328,  1033,  1010,  2096,  1042,  1006,
         1060, 30125,  4328,  1007, 15796,  2015,  1996,  5300,  1997,  1042,
         1006,  1060,  1007,  2005,  2035,  1060,  2213,  1010,  1045, 27944,
         1608,  1060,  1608,  1060,  4328,  1006,  2012,  2560,  2009,  2515,
         2065,  1042,  2003,  7142,  2006,  1031,  1037,  1010,  1038,  1033,
         1007,  1012,  2306,  1996,  2465,  1039,  1009,  1997,  2035,  2512,
         2638, 26792,  7142,  4972,  1010,  2023,  6210,  2573, 16286,  2092,
         1012,  2021,  2009,  2038,  2028,  2350,  2460, 18935,  1012,  1996,
         7091,   102])"
2,0,[], Basic Properties of Measures,seg_3,it is well defined).,tensor(0),"tensor([0, 0, 0, 0, 0, 0, 0, 0])","tensor([3937, 5144, 1997, 5761])","tensor([ 101, 2009, 2003, 2092, 4225, 1007, 1012,  102])"
3,1,['function'], Basic Properties of Measures,seg_3,a different approach is needed. (note figure 1.1.) the lebesgue integral of a bounded and nonnegative function is formed by subdividing,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([3937, 5144, 1997, 5761])","tensor([  101,  1037,  2367,  3921,  2003,  2734,  1012,  1006,  3602,  3275,
         1015,  1012,  1015,  1012,  1007,  1996,  3393, 12681,  9077,  9897,
         1997,  1037, 10351,  1998,  2512,  2638, 26792,  3853,  2003,  2719,
         2011,  4942,  4305, 17258,  2075,   102])"
4,1,['range'], Basic Properties of Measures,seg_3,the range. thus the mth lebesgue sum for ∫a,tensor(1),"tensor([0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([3937, 5144, 1997, 5761])","tensor([  101,  1996,  2846,  1012,  2947,  1996, 11047,  2232,  3393, 12681,
         9077,  7680,  2005,   100,   102])"
5,1,"['sets', 'functions', 'limit']", Basic Properties of Measures,seg_3,b f(x) dx is defined to be the limit of the lsm sums as m → ∞. for what class m of functions f can this approach succeed? the members f of the class m will need to be such that the measure (or length) of all sets of the form,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 1., 0., 0., 0., 0.])","tensor([3937, 5144, 1997, 5761])","tensor([  101,  1038,  1042,  1006,  1060,  1007,  1040,  2595,  2003,  4225,
         2000,  2022,  1996,  5787,  1997,  1996,  1048,  6491, 20571,  2004,
         1049,  1585,  1601,  1012,  2005,  2054,  2465,  1049,  1997,  4972,
         1042,  2064,  2023,  3921,  9510,  1029,  1996,  2372,  1042,  1997,
         1996,  2465,  1049,  2097,  2342,  2000,  2022,  2107,  2008,  1996,
         5468,  1006,  2030,  3091,  1007,  1997,  2035,  4520,  1997,  1996,
         2433,   102])"
6,1,['sets'], Basic Properties of Measures,seg_3,"can be specified. this approach leads to the concept of a σ-field a of subsets of [a, b] that are measurable (that is, we must be able to assign to these sets a number called their “length”),",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([3937, 5144, 1997, 5761])","tensor([  101,  2064,  2022,  9675,  1012,  2023,  3921,  5260,  2000,  1996,
         4145,  1997,  1037,  1173,  1011,  2492,  1037,  1997, 16745,  2015,
         1997,  1031,  1037,  1010,  1038,  1033,  2008,  2024,  2033, 28329,
         1006,  2008,  2003,  1010,  2057,  2442,  2022,  2583,  2000, 23911,
         2000,  2122,  4520,  1037,  2193,  2170,  2037,  1523,  3091,  1524,
         1007,  1010,   102])"
7,1,"['functions', 'limit']", Basic Properties of Measures,seg_3,"and this leads to the concept of the class m of measurable functions. this class m of measurable functions will be seen to be closed under passage to the limit and all the other operations that we are accustomed to performing on functions. moreover, the desirable property",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0.,
        0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0.])","tensor([3937, 5144, 1997, 5761])","tensor([  101,  1998,  2023,  5260,  2000,  1996,  4145,  1997,  1996,  2465,
         1049,  1997,  2033, 28329,  4972,  1012,  2023,  2465,  1049,  1997,
         2033, 28329,  4972,  2097,  2022,  2464,  2000,  2022,  2701,  2104,
         6019,  2000,  1996,  5787,  1998,  2035,  1996,  2060,  3136,  2008,
         2057,  2024, 17730,  2000,  4488,  2006,  4972,  1012,  9308,  1010,
         1996, 16166,  3200,   102])"
8,1,['functions'], Basic Properties of Measures,seg_3,b f(x) dx for functions fn “converging” to f will be broadly true.,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0.])","tensor([3937, 5144, 1997, 5761])","tensor([  101,  1038,  1042,  1006,  1060,  1007,  1040,  2595,  2005,  4972,
         1042,  2078,  1523,  9530,  6299,  4726,  1524,  2000,  1042,  2097,
         2022, 13644,  2995,  1012,   102])"
9,0,[], Basic Properties of Measures,seg_3,figure 1.1 riemann sums and lebesgue sums.,tensor(0),"tensor([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])","tensor([3937, 5144, 1997, 5761])","tensor([  101,  3275,  1015,  1012,  1015, 15544, 17545, 20571,  1998,  3393,
        12681,  9077, 20571,  1012,   102])"
