,Relevance,Tags,Heading,Seg,Sentence,Enc Relevance,Enc Tags,Enc Heading,Enc Sentence
0,1,"['functions', 'risk']",Chapter  Engineering Decisions Under Uncertainty,seg_1,lecture 1 (aim of the present lecture) the aim of the present lecture is to introduce the problem context of societal decision making and to outline how the concept of risk may provide a means for rational decisions in engineering. focus is directed to the understanding of the role of the engineer for the development and maintenance of societal functions. on the basis of the lecture it is expected that the reader will acquire knowledge on the following issues:,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([ 3127,  3330,  6567,  2104, 12503])","tensor([  101,  8835,  1015,  1006,  6614,  1997,  1996,  2556,  8835,  1007,
         1996,  6614,  1997,  1996,  2556,  8835,  2003,  2000,  8970,  1996,
         3291,  6123,  1997, 23382,  3247,  2437,  1998,  2000, 12685,  2129,
         1996,  4145,  1997,  3891,  2089,  3073,  1037,  2965,  2005, 11581,
         6567,  1999,  3330,  1012,  3579,  2003,  2856,  2000,  1996,  4824,
         1997,  1996,  2535,  1997,  1996,  3992,  2005,  1996,  2458,  1998,
         6032,  1997, 23382,  4972,  1012,  2006,  1996,  3978,  1997,  1996,
         8835,  2009,  2003,  3517,  2008,  1996,  8068,  2097,  9878,  3716,
         2006,  1996,  2206,  3314,  1024,   102])"
1,1,"['probability', 'uncertainties', 'consequences', 'risk']",Chapter  Engineering Decisions Under Uncertainty,seg_1,"• what is sustainability? • what is the role of engineering in society? • how can aspects of sustainability be related to life safety and cost optimal decision making? • what are the main different types of consequences to be considered in risk assessment? • why do possible conflicts exist between economy, safety and environment? • why is engineering decision making influenced by uncertainties? • what is the role of probability and consequence in decision making? • what is the definition of risk? • which are the main phases to be considered in life cycle risk assessments in engineering decision making?",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1.,
        0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0.,
        0., 0., 0., 0., 0., 0.])","tensor([ 3127,  3330,  6567,  2104, 12503])","tensor([  101,  1528,  2054,  2003, 15169,  1029,  1528,  2054,  2003,  1996,
         2535,  1997,  3330,  1999,  2554,  1029,  1528,  2129,  2064,  5919,
         1997, 15169,  2022,  3141,  2000,  2166,  3808,  1998,  3465, 15502,
         3247,  2437,  1029,  1528,  2054,  2024,  1996,  2364,  2367,  4127,
         1997,  8465,  2000,  2022,  2641,  1999,  3891,  7667,  1029,  1528,
         2339,  2079,  2825,  9755,  4839,  2090,  4610,  1010,  3808,  1998,
         4044,  1029,  1528,  2339,  2003,  3330,  3247,  2437,  5105,  2011,
         9662,  7368,  1029,  1528,  2054,  2003,  1996,  2535,  1997,  9723,
         1998,  9509,  1999,  3247,  2437,  1029,  1528,  2054,  2003,  1996,
         6210,  1997,  3891,  1029,  1528,  2029,  2024,  1996,  2364, 12335,
         2000,  2022,  2641,  1999,  2166,  5402,  3891, 20794,  1999,  3330,
         3247,  2437,  1029,   102])"
2,1,['sustainable'], Introduction,seg_3,"during the last two decades, there has been a growing awareness that our world only has limited non-renewable natural resources such as energy and materials but also limited renewable resources such as drinking water, clean air etc. this led the brundtland commission in 1987 to the conclusion that sustainable development is defined as a development “that meets the needs of the present without compromis-",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0.])",tensor([4955]),"tensor([  101,  2076,  1996,  2197,  2048,  5109,  1010,  2045,  2038,  2042,
         1037,  3652,  7073,  2008,  2256,  2088,  2069,  2038,  3132,  2512,
         1011, 13918,  3019,  4219,  2107,  2004,  2943,  1998,  4475,  2021,
         2036,  3132, 13918,  4219,  2107,  2004,  5948,  2300,  1010,  4550,
         2250,  4385,  1012,  2023,  2419,  1996,  7987,  8630, 19270,  3222,
         1999,  3055,  2000,  1996,  7091,  2008,  9084,  2458,  2003,  4225,
         2004,  1037,  2458,  1523,  2008,  6010,  1996,  3791,  1997,  1996,
         2556,  2302,  4012, 21572, 15630,  1011,   102])"
3,1,"['design', 'joint', 'sustainable']", Introduction,seg_3,"ing the ability of future generations to meet their own needs”. sustainable decision making is thus presently understood as based on a joint consideration of society, economy and environment. in regard to environmental impacts the immediate implications for the planning, design and operation of civil engineering infrastructures are clear: save energy, save non-renewable resources and find out about re-cycling of building materials, do not pollute the air, water or soil with toxic substances, save or even regain arable land and much more.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])",tensor([4955]),"tensor([  101, 13749,  1996,  3754,  1997,  2925,  8213,  2000,  3113,  2037,
         2219,  3791,  1524,  1012,  9084,  3247,  2437,  2003,  2947, 12825,
         5319,  2004,  2241,  2006,  1037,  4101,  9584,  1997,  2554,  1010,
         4610,  1998,  4044,  1012,  1999,  7634,  2000,  4483, 14670,  1996,
         6234, 13494,  2005,  1996,  4041,  1010,  2640,  1998,  3169,  1997,
         2942,  3330,  6502,  2015,  2024,  3154,  1024,  3828,  2943,  1010,
         3828,  2512,  1011, 13918,  4219,  1998,  2424,  2041,  2055,  2128,
         1011,  9670,  1997,  2311,  4475,  1010,  2079,  2025,  8554, 10421,
         1996,  2250,  1010,  2300,  2030,  5800,  2007, 11704, 13978,  1010,
         3828,  2030,  2130, 12452,  5424,  2571,  2455,  1998,  2172,  2062,
         1012,   102])"
4,1,['replacement'], Introduction,seg_3,"for civil engineering infrastructure and facilities in general the financial aspect is also of crucial importance. civil engineering infrastructure is financed by the public via taxes, public charges or other. in the end, it is the individuals of society who pay and, of course, also enjoy the benefits derived from their existence. however, seen in the light of the conclusions of the brundtland report (brundtland [5]), intergenerational equity must be accounted for. our generation must not leave the burden of maintenance or replacement of too short-lived structures to future generations and it must not use more of the financial resources than those really available. in this sense, civil engineering facilities should be optimal not only from a technological point of view but also from a sustainability point of view.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])",tensor([4955]),"tensor([  101,  2005,  2942,  3330,  6502,  1998,  4128,  1999,  2236,  1996,
         3361,  7814,  2003,  2036,  1997, 10232,  5197,  1012,  2942,  3330,
         6502,  2003, 13790,  2011,  1996,  2270,  3081,  7773,  1010,  2270,
         5571,  2030,  2060,  1012,  1999,  1996,  2203,  1010,  2009,  2003,
         1996,  3633,  1997,  2554,  2040,  3477,  1998,  1010,  1997,  2607,
         1010,  2036,  5959,  1996,  6666,  5173,  2013,  2037,  4598,  1012,
         2174,  1010,  2464,  1999,  1996,  2422,  1997,  1996, 15306,  1997,
         1996,  7987,  8630, 19270,  3189,  1006,  7987,  8630, 19270,  1031,
         1019,  1033,  1007,  1010,  6970,  6914, 16754,  2389, 10067,  2442,
         2022, 14729,  2005,  1012,  2256,  4245,  2442,  2025,  2681,  1996,
        10859,  1997,  6032,  2030,  6110,  1997,  2205,  2460,  1011,  2973,
         5090,  2000,  2925,  8213,  1998,  2009,  2442,  2025,  2224,  2062,
         1997,  1996,  3361,  4219,  2084,  2216,  2428,  2800,  1012,  1999,
         2023,  3168,  1010,  2942,  3330,  4128,  2323,  2022, 15502,  2025,
         2069,  2013,  1037, 10660,  2391,  1997,  3193,  2021,  2036,  2013,
         1037, 15169,  2391,  1997,  3193,  1012,   102])"
5,1,"['cost benefit analysis', 'decision problem']", Introduction,seg_3,"it is in general a concern how society may maintain and even improve the quality of life. all activities in society should thus aim at improving the life expectancy and increasing the gross domestic product (gdp), resulting in the conclusion that investments into life saving activities must be in balance with the resulting increase in life expectancy. for the present, it is just stated that this problem constitutes a decision problem that can be analyzed using cost benefit analysis (see chap. 7).",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 1., 1., 0., 0., 0., 0., 0., 1., 1., 1., 0., 0.,
        0., 0., 0., 0., 0., 0., 0.])",tensor([4955]),"tensor([  101,  2009,  2003,  1999,  2236,  1037,  5142,  2129,  2554,  2089,
         5441,  1998,  2130,  5335,  1996,  3737,  1997,  2166,  1012,  2035,
         3450,  1999,  2554,  2323,  2947,  6614,  2012,  9229,  1996,  2166,
         5987, 11656,  1998,  4852,  1996,  7977,  4968,  4031,  1006, 14230,
         1007,  1010,  4525,  1999,  1996,  7091,  2008, 10518,  2046,  2166,
         7494,  3450,  2442,  2022,  1999,  5703,  2007,  1996,  4525,  3623,
         1999,  2166,  5987, 11656,  1012,  2005,  1996,  2556,  1010,  2009,
         2003,  2074,  3090,  2008,  2023,  3291, 17367,  1037,  3247,  3291,
         2008,  2064,  2022, 16578,  2478,  3465,  5770,  4106,  1006,  2156,
        15775,  2361,  1012,  1021,  1007,  1012,   102])"
6,1,['risk'], Introduction,seg_3,"at present, approximately 10 to 20% of the gdp of developed countries is being re-invested into life saving activities such as public health, risk reduction and safety. for example, the economic burden of degradation of infrastructure amounted to about 10% of the gdp for the usa in 1997 (see alsalam et al. [1]). from these numbers it becomes apparent that the issue of safety and well being of the individuals in society as well as the durability of infrastructure facilities has a high importance for the performance of society and the quality of life.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0.])",tensor([4955]),"tensor([  101,  2012,  2556,  1010,  3155,  2184,  2000,  2322,  1003,  1997,
         1996, 14230,  1997,  2764,  3032,  2003,  2108,  2128,  1011, 11241,
         2046,  2166,  7494,  3450,  2107,  2004,  2270,  2740,  1010,  3891,
         7312,  1998,  3808,  1012,  2005,  2742,  1010,  1996,  3171, 10859,
         1997, 16627,  1997,  6502, 18779,  2000,  2055,  2184,  1003,  1997,
         1996, 14230,  2005,  1996,  3915,  1999,  2722,  1006,  2156, 25520,
         7911,  2213,  3802,  2632,  1012,  1031,  1015,  1033,  1007,  1012,
         2013,  2122,  3616,  2009,  4150,  6835,  2008,  1996,  3277,  1997,
         3808,  1998,  2092,  2108,  1997,  1996,  3633,  1999,  2554,  2004,
         2092,  2004,  1996,  4241,  2527,  8553,  1997,  6502,  4128,  2038,
         1037,  2152,  5197,  2005,  1996,  2836,  1997,  2554,  1998,  1996,
         3737,  1997,  2166,  1012,   102])"
7,1,"['design', 'case']", Introduction,seg_3,"the present book attempts to provide the basic tools for supporting decision making in the context of planning, design and maintenance of civil engineering activities and structures. engineering facilities such as bridges, power plants, dams and offshore platforms are all intended to benefit, in one way or another the quality of life of the individuals of society. therefore, whenever such a facility is planned, it is a prerequisite that the benefit of the facility can be proven considering all phases of the life of the facility, i.e. including design, manufacturing, construction, operation and eventually decommissioning. if this is not the case, clearly the facility should not be established.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0.])",tensor([4955]),"tensor([  101,  1996,  2556,  2338,  4740,  2000,  3073,  1996,  3937,  5906,
         2005,  4637,  3247,  2437,  1999,  1996,  6123,  1997,  4041,  1010,
         2640,  1998,  6032,  1997,  2942,  3330,  3450,  1998,  5090,  1012,
         3330,  4128,  2107,  2004,  7346,  1010,  2373,  4264,  1010, 17278,
         1998, 12195,  7248,  2024,  2035,  3832,  2000,  5770,  1010,  1999,
         2028,  2126,  2030,  2178,  1996,  3737,  1997,  2166,  1997,  1996,
         3633,  1997,  2554,  1012,  3568,  1010,  7188,  2107,  1037,  4322,
         2003,  3740,  1010,  2009,  2003,  1037,  3653,  2890, 24871,  2008,
         1996,  5770,  1997,  1996,  4322,  2064,  2022, 10003,  6195,  2035,
        12335,  1997,  1996,  2166,  1997,  1996,  4322,  1010,  1045,  1012,
         1041,  1012,  2164,  2640,  1010,  5814,  1010,  2810,  1010,  3169,
         1998,  2776, 21933,  7382, 14643,  3258,  2075,  1012,  2065,  2023,
         2003,  2025,  1996,  2553,  1010,  4415,  1996,  4322,  2323,  2025,
         2022,  2511,  1012,   102])"
8,1,['level'], Societal Decision Making and Risk,seg_5,on a societal level a beneficial engineered facility is normally understood as:,tensor(1),"tensor([0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([23382,  3247,  2437,  1998,  3891])","tensor([  101,  2006,  1037, 23382,  2504,  1037, 15189, 13685,  4322,  2003,
         5373,  5319,  2004,  1024,   102])"
9,1,['efficient'], Societal Decision Making and Risk,seg_5,• being economically efficient in serving a specific purpose,tensor(1),"tensor([0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0.])","tensor([23382,  3247,  2437,  1998,  3891])","tensor([  101,  1528,  2108, 15318,  8114,  1999,  3529,  1037,  3563,  3800,
          102])"
