,Relevance,Tags,Heading,Seg,Sentence,Enc Relevance,Enc Tags,Enc Heading,Enc Sentence
0,1,"['statistics', 'data']",Chapter  Data Collection,seg_1,"this chapter explains some basic concepts within statistics. also, we look at the most important ways to collect data in surveys.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 1., 0., 0., 0., 0.])","tensor([3127, 2951, 3074])","tensor([  101,  2023,  3127,  7607,  2070,  3937,  8474,  2306,  6747,  1012,
         2036,  1010,  2057,  2298,  2012,  1996,  2087,  2590,  3971,  2000,
         8145,  2951,  1999, 12265,  1012,   102])"
1,1,"['data collection', 'data']",Chapter  Data Collection,seg_1,"statistics can be defined as a collection of techniques used when planning a data collection, and when subsequently analyzing and presenting data.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 0., 0.,
        0., 0., 0., 0., 0., 1., 0., 0.])","tensor([3127, 2951, 3074])","tensor([  101,  6747,  2064,  2022,  4225,  2004,  1037,  3074,  1997,  5461,
         2109,  2043,  4041,  1037,  2951,  3074,  1010,  1998,  2043,  3525,
        20253,  1998, 10886,  2951,  1012,   102])"
2,1,"['probability theory', 'probability', 'statistics', 'population', 'statistical']",Chapter  Data Collection,seg_1,"dating back to ancient times people have needed knowledge about population size, to carry out a census of the armies or calculate expected taxes. the word statistics is derived from the word “status” (originally coming from latin); and it was exactly the status of society, which was the subject of the first statistics! later emerged probability theory (in connection with games!), demographics and insurance science as areas, in which statistical thinking was essential.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 1., 1., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0.])","tensor([3127, 2951, 3074])","tensor([  101,  5306,  2067,  2000,  3418,  2335,  2111,  2031,  2734,  3716,
         2055,  2313,  2946,  1010,  2000,  4287,  2041,  1037,  2883,  1997,
         1996,  8749,  2030, 18422,  3517,  7773,  1012,  1996,  2773,  6747,
         2003,  5173,  2013,  1996,  2773,  1523,  3570,  1524,  1006,  2761,
         2746,  2013,  3763,  1007,  1025,  1998,  2009,  2001,  3599,  1996,
         3570,  1997,  2554,  1010,  2029,  2001,  1996,  3395,  1997,  1996,
         2034,  6747,   999,  2101,  6003,  9723,  3399,  1006,  1999,  4434,
         2007,  2399,   999,  1007,  1010, 28321,  1998,  5427,  2671,  2004,
         2752,  1010,  1999,  2029,  7778,  3241,  2001,  6827,  1012,   102])"
3,1,"['process', 'statistics', 'data']",Chapter  Data Collection,seg_1,"in today’s digital age it is easy to collect as well as process and disseminate data, and therefore statistics is used for a variety of surveys throughout society.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0.,
        0., 0., 1., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([3127, 2951, 3074])","tensor([  101,  1999,  2651,  1521,  1055,  3617,  2287,  2009,  2003,  3733,
         2000,  8145,  2004,  2092,  2004,  2832,  1998,  4487, 11393, 19269,
         2951,  1010,  1998,  3568,  6747,  2003,  2109,  2005,  1037,  3528,
         1997, 12265,  2802,  2554,  1012,   102])"
4,1,['statistical'],Chapter  Data Collection,seg_1,most statistical surveys can be divided into the following phases:,tensor(1),"tensor([0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([3127, 2951, 3074])","tensor([  101,  2087,  7778, 12265,  2064,  2022,  4055,  2046,  1996,  2206,
        12335,  1024,   102])"
5,1,"['data collection', 'data']",Chapter  Data Collection,seg_1,1. clarification of concepts 2. planning of data collection 3. data collection 4. analysis and presentation of data 5. conclusion,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 0., 0., 1., 1.,
        0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0.])","tensor([3127, 2951, 3074])","tensor([  101,  1015,  1012, 18856,  8486, 10803,  1997,  8474,  1016,  1012,
         4041,  1997,  2951,  3074,  1017,  1012,  2951,  3074,  1018,  1012,
         4106,  1998,  8312,  1997,  2951,  1019,  1012,  7091,   102])"
6,1,['statisticians'],Chapter  Data Collection,seg_1,statistical methods (and statisticians!) are particularly useful in phases 2 and 4 of the survey.,tensor(1),"tensor([0., 0., 0., 0., 0., 1., 1., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0.])","tensor([3127, 2951, 3074])","tensor([  101,  7778,  4725,  1006,  1998, 28093,  6553,  7066,   999,  1007,
         2024,  3391,  6179,  1999, 12335,  1016,  1998,  1018,  1997,  1996,
         5002,  1012,   102])"
7,1,['statistics'],Chapter  Data Collection,seg_1,there are two kinds of statistics:,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 1., 0., 0.])","tensor([3127, 2951, 3074])","tensor([ 101, 2045, 2024, 2048, 7957, 1997, 6747, 1024,  102])"
8,1,"['descriptive statistics', 'statistics']",Chapter  Data Collection,seg_1,– descriptive statistics – analytical statistics,tensor(1),"tensor([0., 0., 1., 1., 0., 0., 1., 0.])","tensor([3127, 2951, 3074])","tensor([  101,  1516, 22726,  6747,  1516, 17826,  6747,   102])"
9,1,"['data', 'tables', 'statistics', 'charts', 'statistical', 'percentages']",Chapter  Data Collection,seg_1,"descriptive statistics means describing data using tables, charts and simple statistical calculations such as averages, percentages, etc. this is what many people understand by the word “statistics”. it was also the kind of statistics that was produced in ancient times.",tensor(1),"tensor([0., 0., 1., 0., 0., 1., 0., 1., 0., 1., 0., 0., 1., 0., 0., 0., 0., 0.,
        1., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0.,
        0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([3127, 2951, 3074])","tensor([  101, 22726,  6747,  2965,  7851,  2951,  2478,  7251,  1010,  6093,
         1998,  3722,  7778, 16268,  2107,  2004, 20185,  1010,  7017,  2015,
         1010,  4385,  1012,  2023,  2003,  2054,  2116,  2111,  3305,  2011,
         1996,  2773,  1523,  6747,  1524,  1012,  2009,  2001,  2036,  1996,
         2785,  1997,  6747,  2008,  2001,  2550,  1999,  3418,  2335,  1012,
          102])"
