,Relevance,Tags,Heading,Seg,Sentence,Enc Relevance,Enc Tags,Enc Heading,Enc Sentence
0,0,[], DESCRIPTIVE STATISTICS,seg_1,"after finishing the chapter, students will be able to",tensor(0),"tensor([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])","tensor([22726,  6747])","tensor([ 101, 2044, 5131, 1996, 3127, 1010, 2493, 2097, 2022, 2583, 2000,  102])"
1,1,['statistics'], DESCRIPTIVE STATISTICS,seg_1,◾ explain the meaning and uses of statistics,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 1., 0.])","tensor([22726,  6747])","tensor([ 101,  100, 4863, 1996, 3574, 1998, 3594, 1997, 6747,  102])"
2,1,"['scales of measurement', 'standard', 'measurement']", DESCRIPTIVE STATISTICS,seg_1,◾ describe the standard scales of measurement,tensor(1),"tensor([0., 0., 0., 0., 1., 1., 1., 1., 0.])","tensor([22726,  6747])","tensor([  101,   100,  6235,  1996,  3115,  9539,  1997, 10903,   102])"
3,1,['summation'], DESCRIPTIVE STATISTICS,seg_1,◾ interpret various summation (∑) and product (∏) notations,tensor(1),"tensor([0., 0., 0., 0., 1., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])","tensor([22726,  6747])","tensor([  101,   100, 17841,  2536,  7680, 28649,  1006,   100,  1007,  1998,
         4031,  1006,   100,  1007, 14869,  2015,   102])"
4,1,"['transformations', 'data']", DESCRIPTIVE STATISTICS,seg_1,◾ apply different types of data transformations,tensor(1),"tensor([0., 0., 0., 0., 0., 0., 1., 1., 0.])","tensor([22726,  6747])","tensor([  101,   100,  6611,  2367,  4127,  1997,  2951, 21865,   102])"
5,1,"['discretization', 'data']", DESCRIPTIVE STATISTICS,seg_1,◾ distinguish various data discretization algorithms (ddas),tensor(1),"tensor([0., 0., 0., 0., 1., 1., 1., 1., 0., 0., 0., 0., 0., 0.])","tensor([22726,  6747])","tensor([  101,   100, 10782,  2536,  2951,  5860, 13465,  3989, 13792,  1006,
        20315,  3022,  1007,   102])"
6,1,"['discretization', 'permutation', 'transform', 'statistics', 'data', 'factorial', 'continuous', 'inferential statistics', 'rising and falling factorials', 'falling factorials', 'scales of measurement', 'combination', 'range', 'measurement', 'summation']", INTRODUCTION,seg_3,"statistics has borrowed several ideas and notations from various other fields. this section summarizes some important concepts and notations that will be used in this book. as examples, the factorial, permutation and combination, summation, product (including rising and falling factorials), and other mathematical notations including set-theoretic operators are discussed in this chapter. these notations are extensively used in descriptive and inferential statistics. a discussion on the most commonly used scales of measurement in this chapter gives better insight into the types of data most often encountered. various techniques to transform these data into any desired range are also given. data discretization techniques to categorize continuous data are exemplified. these notations, tools, and techniques are immensely useful to better grasp the rest of the chapters.",tensor(1),"tensor([0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 1., 1., 0., 1., 1., 1., 0., 1., 0., 1., 1., 0., 0., 0., 0., 1., 1.,
        1., 1., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 1., 1.,
        0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 1., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 1., 0., 1., 0., 0., 0., 1.,
        0., 0., 0., 0., 1., 1., 1., 1., 0., 0., 0., 0., 0., 1., 1., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0.])",tensor([4955]),"tensor([  101,  6747,  2038, 11780,  2195,  4784,  1998, 14869,  2015,  2013,
         2536,  2060,  4249,  1012,  2023,  2930,  7680,  7849, 10057,  2070,
         2590,  8474,  1998, 14869,  2015,  2008,  2097,  2022,  2109,  1999,
         2023,  2338,  1012,  2004,  4973,  1010,  1996,  5387,  4818,  1010,
         2566, 28120,  3370,  1998,  5257,  1010,  7680, 28649,  1010,  4031,
         1006,  2164,  4803,  1998,  4634,  5387, 26340,  1007,  1010,  1998,
         2060,  8045, 14869,  2015,  2164,  2275,  1011, 14833, 13465,  2594,
         9224,  2024,  6936,  1999,  2023,  3127,  1012,  2122, 14869,  2015,
         2024,  8077,  2109,  1999, 22726,  1998,  1999,  7512, 24271,  6747,
         1012,  1037,  6594,  2006,  1996,  2087,  4141,  2109,  9539,  1997,
        10903,  1999,  2023,  3127,  3957,  2488, 12369,  2046,  1996,  4127,
         1997,  2951,  2087,  2411,  8567,  1012,  2536,  5461,  2000, 10938,
         2122,  2951,  2046,  2151,  9059,  2846,  2024,  2036,  2445,  1012,
         2951,  5860, 13465,  3989,  5461,  2000,  4937, 20265, 25709,  7142,
         2951,  2024, 28593,  1012,  2122, 14869,  2015,  1010,  5906,  1010,
         1998,  5461,  2024, 24256,  6179,  2000,  2488, 10616,  1996,  2717,
         1997,  1996,  9159,  1012,   102])"
7,1,"['percentiles', 'weighted means', 'population', 'trimmed means', 'median', 'location', 'skewness', 'quartiles', 'harmonic', 'statistical', 'geometric', 'data', 'case', 'trials', 'kurtosis', 'sample median', 'sample', 'location measures']", INTRODUCTION,seg_3,"most of the statistical analyses use a sample of data values. these data are either collected from a target population, obtained from field trials, or generated randomly. they are then either summarized (using summary measures) or subjected to one or more analyses. popular summarization measures include location measures, spread measures, skewness and kurtosis measures, dependency measures, and other measures. chapter 2 introduces the most common location measures. these include arithmetic, geometric, and harmonic means; median; and the mode. trimmed versions of these measures are obtained by dropping data values at either or both of the extremes. as a special case, as the geometric and harmonic means are defined only for positive data values ($ $0), an analyst may drop all zero and negative data values to obtain left-trimmed versions of them. the trimmed means, weighted means, and their updating formula are given. the sample median, mode, quartiles, and percentiles are also explained.",tensor(1),"tensor([0., 0., 0., 0., 1., 0., 0., 0., 1., 0., 1., 0., 0., 0., 1., 0., 0., 0.,
        0., 0., 0., 1., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 1., 1., 0., 0., 0., 0., 1., 1., 1., 0., 1., 1., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 0., 0., 0., 0., 0.,
        1., 0., 0., 1., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0.,
        0., 0., 1., 0., 1., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 1., 1., 0., 1., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        1., 1., 0., 0., 0., 1., 1., 1., 1., 0., 0., 1., 1., 1., 0., 0., 0., 0.,
        0.])",tensor([4955]),"tensor([  101,  2087,  1997,  1996,  7778, 16478,  2224,  1037,  7099,  1997,
         2951,  5300,  1012,  2122,  2951,  2024,  2593,  5067,  2013,  1037,
         4539,  2313,  1010,  4663,  2013,  2492,  7012,  1010,  2030,  7013,
        18154,  1012,  2027,  2024,  2059,  2593, 22539,  1006,  2478, 12654,
         5761,  1007,  2030, 13532,  2000,  2028,  2030,  2062, 16478,  1012,
         2759,  7680,  7849,  3989,  5761,  2421,  3295,  5761,  1010,  3659,
         5761,  1010, 15315,  7974,  2791,  1998,  9679, 12650,  5761,  1010,
        24394,  5761,  1010,  1998,  2060,  5761,  1012,  3127,  1016, 13999,
         1996,  2087,  2691,  3295,  5761,  1012,  2122,  2421, 20204,  1010,
        14965,  1010,  1998, 19452,  2965,  1025,  3991,  1025,  1998,  1996,
         5549,  1012, 21920,  4617,  1997,  2122,  5761,  2024,  4663,  2011,
         7510,  2951,  5300,  2012,  2593,  2030,  2119,  1997,  1996, 28800,
         1012,  2004,  1037,  2569,  2553,  1010,  2004,  1996, 14965,  1998,
        19452,  2965,  2024,  4225,  2069,  2005,  3893,  2951,  5300,  1006,
         1002,  1002,  1014,  1007,  1010,  2019, 12941,  2089,  4530,  2035,
         5717,  1998,  4997,  2951,  5300,  2000,  6855,  2187,  1011, 21920,
         4617,  1997,  2068,  1012,  1996, 21920,  2965,  1010, 18215,  2965,
         1010,  1998,  2037,  2039, 16616,  5675,  2024,  2445,  1012,  1996,
         7099,  3991,  1010,  5549,  1010, 24209,  8445,  9463,  2015,  1010,
         1998,  3867,  9463,  2015,  2024,  2036,  4541,  1012,   102])"
8,1,"['range', 'linear', 'variance', 'deviation', 'variation', 'coefficient', 'nonlinear', 'sample', 'standard deviation', 'standard', 'sample variance', 'categorization', 'coefficient of variation']", INTRODUCTION,seg_3,"dispersion measures are discussed in chapter 3. a categorization of spread measures helps the reader to distinguish between linear and nonlinear measures, pivotal and pivotless measures, additive and nonadditive measures, absolute and relative measures, and distance-based measures. the most frequently used spread measures are the sample range, variance, or standard deviation. these are discussed and some updating formulae for sample variance are derived. the sample variance and covariance can be computed recursively using a divide-and-conquer strategy by dividing the sample into two subsamples and pooling the corresponding variance or covariance of subsamples in a sensible and orderly way. the coefficient of variation and gini coefficient are also discussed.",tensor(1),"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 1., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 1., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 0., 1., 0., 0., 1., 1., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 0., 0., 0., 0., 1., 1.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 1., 0., 0.,
        0., 1., 0., 0., 0., 0., 0.])",tensor([4955]),"tensor([  101,  4487, 17668, 10992,  5761,  2024,  6936,  1999,  3127,  1017,
         1012,  1037,  4937, 20265, 26910,  1997,  3659,  5761,  7126,  1996,
         8068,  2000, 10782,  2090,  7399,  1998, 27400,  5761,  1010, 20369,
         1998, 14255, 22994,  3238,  5761,  1010, 29167,  1998,  2512,  4215,
        23194,  3512,  5761,  1010,  7619,  1998,  5816,  5761,  1010,  1998,
         3292,  1011,  2241,  5761,  1012,  1996,  2087,  4703,  2109,  3659,
         5761,  2024,  1996,  7099,  2846,  1010, 23284,  1010,  2030,  3115,
        24353,  1012,  2122,  2024,  6936,  1998,  2070,  2039, 16616,  5675,
         2063,  2005,  7099, 23284,  2024,  5173,  1012,  1996,  7099, 23284,
         1998,  2522, 10755, 28335,  2064,  2022, 24806, 28667,  9236, 14547,
         2478,  1037, 11443,  1011,  1998,  1011, 16152,  5656,  2011, 16023,
         1996,  7099,  2046,  2048,  4942, 21559, 21112,  1998,  4770,  2075,
         1996,  7978, 23284,  2030,  2522, 10755, 28335,  1997,  4942, 21559,
        21112,  1999,  1037, 21082,  1998, 23589,  2126,  1012,  1996, 19064,
         1997,  8386,  1998, 18353,  2072, 19064,  2024,  2036,  6936,  1012,
          102])"
9,1,"['probability theory', 'functions', 'bayes', 'bayes theorem', 'derangements', 'conditional', 'location', 'recurrence', 'conditional probability', 'permutation', 'skewness', 'urn models', 'recurrence relations', 'probability', 'partitions', 'kurtosis', 'complete enumeration', 'combination', 'distribution']", INTRODUCTION,seg_3,"popular measures of skewness and kurtosis are discussed in chapter 4. different types of skewness measures such as location and scale-based measures, quartile-based measures, moment-based measures, measures that utilize inverse of distribution functions, or l-moments are discussed. the measures of kurtosis discussed are skewness–kurtosis bounds, l-kurtosis, and spectral kurtosis. chapter 5 discusses probability theory with emphasis on solving problems from various fields. essential tools and techniques such as permutation and combination, cyclic permutation, complete enumeration, trees, principle of inclusion and exclusion, recurrence relations, derangements, urn models, and partitions used to solve probability problems are discussed, and conditional probability and bayes theorem are introduced.",tensor(1),"tensor([0., 0., 0., 0., 1., 1., 1., 0., 1., 1., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 1., 1., 1., 0., 0., 0., 1., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 0., 0., 1., 1., 1., 0., 1., 1.,
        0., 0., 0., 0., 1., 1., 0., 0., 0., 1., 1., 0., 0., 0., 0., 1., 1., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1., 1., 1., 0.,
        1., 0., 0., 1., 1., 1., 0., 1., 1., 1., 1., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 1., 1., 1., 1., 0., 1., 1., 1., 0., 1., 1., 1., 0., 0., 1., 1.,
        0., 0., 0., 1., 0., 0., 0., 0., 0., 1., 1., 0., 1., 1., 1., 0., 0., 0.,
        0.])",tensor([4955]),"tensor([  101,  2759,  5761,  1997, 15315,  7974,  2791,  1998,  9679, 12650,
         2024,  6936,  1999,  3127,  1018,  1012,  2367,  4127,  1997, 15315,
         7974,  2791,  5761,  2107,  2004,  3295,  1998,  4094,  1011,  2241,
         5761,  1010, 24209,  8445,  9463,  1011,  2241,  5761,  1010,  2617,
         1011,  2241,  5761,  1010,  5761,  2008, 16462, 19262,  1997,  4353,
         4972,  1010,  2030,  1048,  1011,  5312,  2024,  6936,  1012,  1996,
         5761,  1997,  9679, 12650,  6936,  2024, 15315,  7974,  2791,  1516,
         9679, 12650, 19202,  1010,  1048,  1011,  9679, 12650,  1010,  1998,
        17435,  9679, 12650,  1012,  3127,  1019, 15841,  9723,  3399,  2007,
         7902,  2006, 13729,  3471,  2013,  2536,  4249,  1012,  6827,  5906,
         1998,  5461,  2107,  2004,  2566, 28120,  3370,  1998,  5257,  1010,
        23750,  2566, 28120,  3370,  1010,  3143,  4372, 17897,  8156,  1010,
         3628,  1010,  6958,  1997, 10502,  1998, 15945,  1010, 28667,  3126,
        24413,  4262,  1010,  4315, 22043,  8163,  1010, 24471,  2078,  4275,
         1010,  1998, 13571,  2015,  2109,  2000,  9611,  9723,  3471,  2024,
         6936,  1010,  1998, 18462,  9723,  1998,  3016,  2229,  9872,  2024,
         3107,  1012,   102])"
